"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-06-28",3929.19280054444,-22.5561535079444,3.48119842926667,-47.8674844937778,"LP","LWR","BDA",4041.12270468518,3.47257312125556,-22.4139114154907,-47.8854231661111
"2",2,"2021-06-28",4091.11290615556,-22.4362975375278,3.50903160633333,-46.9601899674444,"LP","LWR","BDA",4041.12270468518,3.47257312125556,-22.4139114154907,-47.8854231661111
"3",3,"2021-06-28",4103.06240735556,-22.249283201,3.42748932816667,-48.8285950371111,"LP","LWR","BDA",4041.12270468518,3.47257312125556,-22.4139114154907,-47.8854231661111
"4",4,"2021-06-28",4656.60091351111,-22.9313575808611,7.02870221018889,-55.1248235,"LP","MID","BDA",4652.10231437778,7.25635570187407,-22.881079544787,-55.6193675966296
"5",5,"2021-06-28",4510.91327995556,-22.6310055530556,7.34424491337778,-54.9704192085556,"LP","MID","BDA",4652.10231437778,7.25635570187407,-22.881079544787,-55.6193675966296
"6",6,"2021-06-28",4788.79274966667,-23.0808755004444,7.39611998205556,-56.7628600813333,"LP","MID","BDA",4652.10231437778,7.25635570187407,-22.881079544787,-55.6193675966296
"7",7,"2021-06-28",5050.24316723333,-23.1936817251667,9.26662232911111,-59.7465891451111,"LP","UPR","BDA",5059.54058524074,9.32647223983333,-23.0577765621667,-59.0759461017778
"8",8,"2021-06-28",5076.9272893,-22.9539816947222,9.41944007613333,-58.5562746227778,"LP","UPR","BDA",5059.54058524074,9.32647223983333,-23.0577765621667,-59.0759461017778
"9",9,"2021-06-28",5051.45129918889,-23.0256662666111,9.29335431425556,-58.9249745374444,"LP","UPR","BDA",5059.54058524074,9.32647223983333,-23.0577765621667,-59.0759461017778
"10",10,"2021-06-28",5403.03532351111,-23.0249469358333,3.28359601195556,-61.5782865074444,"LP","LWR","REF",5390.18701736667,3.06360700866296,-22.8974670370833,-62.0935848475926
"11",11,"2021-06-28",5354.93165176667,-22.7894792787778,2.97082339831111,-62.3689458778889,"LP","LWR","REF",5390.18701736667,3.06360700866296,-22.8974670370833,-62.0935848475926
"12",12,"2021-06-28",5412.59407682222,-22.8779748966389,2.93640161572222,-62.3335221574444,"LP","LWR","REF",5390.18701736667,3.06360700866296,-22.8974670370833,-62.0935848475926
"13",13,"2021-06-28",7302.66745674444,-22.9711609582778,2.41206451576667,-59.2497942506667,"LP","MID","REF",7197.46656647778,2.32383076591481,-23.0114261889167,-60.6519868327407
"14",14,"2021-06-28",7540.14750235556,-23.0555925358056,2.25981387688889,-63.447177654,"LP","MID","REF",7197.46656647778,2.32383076591481,-23.0114261889167,-60.6519868327407
"15",15,"2021-06-28",6749.58474033333,-23.0075250726667,2.29961390508889,-59.2589885935556,"LP","MID","REF",7197.46656647778,2.32383076591481,-23.0114261889167,-60.6519868327407
"16",16,"2021-06-28",8248.19808354444,-23.2498497685,0.448430844875556,-19.9850494277778,"LP","UPR","REF",8337.58246311852,0.414727897522593,-23.2968479055741,-4.82029261313148
"17",17,"2021-06-28",8564.20599855556,-23.3387213803056,0.404508989945556,-7.08289257240556,"LP","UPR","REF",8337.58246311852,0.414727897522593,-23.2968479055741,-4.82029261313148
"18",18,"2021-06-28",8200.34330725556,-23.3019725679167,0.391243857746667,12.6070641607889,"LP","UPR","REF",8337.58246311852,0.414727897522593,-23.2968479055741,-4.82029261313148
"19",19,"2021-06-29",1087.69017991111,-20.2561783832222,5.47804417615556,-54.700301163,"FH","LWR","BDA",813.428612107407,5.84250473493333,-20.0646544271019,-53.5647041495556
"20",20,"2021-06-29",683.644819897778,-19.4919567938056,6.29020398535556,-53.7229008015556,"FH","LWR","BDA",813.428612107407,5.84250473493333,-20.0646544271019,-53.5647041495556
