"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-08-12",1252.38887421111,-20.2018251913333,4.97228331793333,-54.2294595012222,"TP","LWR","BDA",1354.77813027778,5.37257164924444,-20.927514579,-53.8652215923333
"2",2,"2021-08-12",1399.41407856667,-21.2280948187778,5.50884579974444,-54.5738602715556,"TP","LWR","BDA",1354.77813027778,5.37257164924444,-20.927514579,-53.8652215923333
"3",3,"2021-08-12",1412.53143805556,-21.3526237268889,5.63658583005556,-52.7923450042222,"TP","LWR","BDA",1354.77813027778,5.37257164924444,-20.927514579,-53.8652215923333
"4",4,"2021-08-12",1634.63582071111,-21.6829009785833,10.1097191726667,-52.7550475286667,"TP","MID","BDA",1647.20922771852,10.3954267458519,-21.3584970104907,-52.3395562331111
"5",5,"2021-08-12",1663.87011231111,-21.5339711604167,10.4663682157778,-52.2843799994444,"TP","MID","BDA",1647.20922771852,10.3954267458519,-21.3584970104907,-52.3395562331111
"6",6,"2021-08-12",1643.12175013333,-20.8586188924722,10.6101928491111,-51.9792411712222,"TP","MID","BDA",1647.20922771852,10.3954267458519,-21.3584970104907,-52.3395562331111
"7",7,"2021-08-12",1541.79315745556,-20.7528194731944,6.02918430077778,-50.2392793181111,"TP","UPR","BDA",1546.83781367407,5.87452704010741,-21.2879918775556,-49.847784838037
"8",8,"2021-08-12",1548.98675918889,-21.3317504405278,5.81518466963333,-49.830868034,"TP","UPR","BDA",1546.83781367407,5.87452704010741,-21.2879918775556,-49.847784838037
"9",9,"2021-08-12",1549.73352437778,-21.7794057189444,5.77921214991111,-49.473207162,"TP","UPR","BDA",1546.83781367407,5.87452704010741,-21.2879918775556,-49.847784838037
"10",10,"2021-08-12",1572.47293658889,-21.1043497273056,52.5026881272222,-65.4579583871111,"TP","LWR","REF",1571.72666701852,54.9426290815185,-20.8498554677685,-65.1136129409259
"11",11,"2021-08-12",1596.35620232222,-21.02326043275,56.205638674,-64.900767118,"TP","LWR","REF",1571.72666701852,54.9426290815185,-20.8498554677685,-65.1136129409259
"12",12,"2021-08-12",1546.35086214444,-20.42195624325,56.1195604433333,-64.9821133176667,"TP","LWR","REF",1571.72666701852,54.9426290815185,-20.8498554677685,-65.1136129409259
"13",13,"2021-08-12",1268.30052512222,-19.9711799339444,7.84965487246667,-56.6228228377778,"TP","MID","REF",1264.25968794444,5.93670231862222,-20.146406069787,-53.8184753577778
"14",14,"2021-08-12",1274.30187533333,-20.4242933299444,4.74913750105556,-51.518539978,"TP","MID","REF",1264.25968794444,5.93670231862222,-20.146406069787,-53.8184753577778
"15",15,"2021-08-12",1250.17666337778,-20.0437449454722,5.21131458234444,-53.3140632575556,"TP","MID","REF",1264.25968794444,5.93670231862222,-20.146406069787,-53.8184753577778
"16",16,"2021-08-12",1345.40944957778,-20.0055762913333,2.62740507342222,-51.1965779535556,"TP","UPR","REF",1377.67202842963,2.5242039364963,-20.4340811662407,-51.2425724643704
"17",17,"2021-08-12",1417.8761603,-20.6367259582778,2.46871832902222,-49.2607736363333,"TP","UPR","REF",1377.67202842963,2.5242039364963,-20.4340811662407,-51.2425724643704
"18",18,"2021-08-12",1369.73047541111,-20.6599412491111,2.47648840704444,-53.2703658032222,"TP","UPR","REF",1377.67202842963,2.5242039364963,-20.4340811662407,-51.2425724643704
