"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-07-15",1089.84736145556,-19.5295571724167,4.19400971804444,-57.0885446022222,"TP","LWR","BDA",1147.38216455926,4.18319405886667,-20.0454732736204,-56.5591455540741
"2",2,"2021-07-15",1203.02827865556,-20.1388577578056,4.05123392737778,-55.9815543505556,"TP","LWR","BDA",1147.38216455926,4.18319405886667,-20.0454732736204,-56.5591455540741
"3",3,"2021-07-15",1149.27085356667,-20.4680048906389,4.30433853117778,-56.6073377094444,"TP","LWR","BDA",1147.38216455926,4.18319405886667,-20.0454732736204,-56.5591455540741
"4",4,"2021-07-15",1164.51320375556,-19.7692281518611,4.67151413477778,-56.0965403933333,"TP","MID","BDA",1215.14108773333,4.79856704322222,-20.01740645525,-54.9407084302963
"5",5,"2021-07-15",1203.15707753333,-20.42405082925,4.82791861928889,-55.3670783014444,"TP","MID","BDA",1215.14108773333,4.79856704322222,-20.01740645525,-54.9407084302963
"6",6,"2021-07-15",1277.75298191111,-19.8589403846389,4.8962683756,-53.3585065961111,"TP","MID","BDA",1215.14108773333,4.79856704322222,-20.01740645525,-54.9407084302963
"7",7,"2021-07-15",1239.19305667778,-19.7116801260833,5.33207139457778,-53.0101970176667,"TP","UPR","BDA",1262.41339003704,5.397952577,-19.9580908285556,-52.919540366037
"8",8,"2021-07-15",1255.17352648889,-19.5506606326389,5.31885978295556,-52.7693282348889,"TP","UPR","BDA",1262.41339003704,5.397952577,-19.9580908285556,-52.919540366037
"9",9,"2021-07-15",1292.87358694444,-20.6119317269444,5.54292655346667,-52.9790958455556,"TP","UPR","BDA",1262.41339003704,5.397952577,-19.9580908285556,-52.919540366037
"10",10,"2021-07-15",1007.9089945,-19.2659398251389,25.1196807584444,-65.0972170614444,"TP","LWR","REF",1003.10882524185,26.322568626037,-18.9966541620741,-64.9018308948518
"11",11,"2021-07-15",991.813266314444,-19.2409356694722,27.1894042665556,-64.7228682696667,"TP","LWR","REF",1003.10882524185,26.322568626037,-18.9966541620741,-64.9018308948518
"12",12,"2021-07-15",1009.60421491111,-18.4830869916111,26.6586208531111,-64.8854073534444,"TP","LWR","REF",1003.10882524185,26.322568626037,-18.9966541620741,-64.9018308948518
"13",13,"2021-07-15",875.055450884444,-18.5474499724444,4.56861060024444,-54.5113441228889,"TP","MID","REF",831.023923412222,3.63913993842593,-18.5831681985741,-52.9749803668519
"14",14,"2021-07-15",809.790949447778,-18.5879541518056,3.15862179098889,-50.716690005,"TP","MID","REF",831.023923412222,3.63913993842593,-18.5831681985741,-52.9749803668519
"15",15,"2021-07-15",808.225369904445,-18.6141004714722,3.19018742404444,-53.6969069726667,"TP","MID","REF",831.023923412222,3.63913993842593,-18.5831681985741,-52.9749803668519
"16",16,"2021-07-15",880.441475955556,-18.717459301,1.65555732888889,-49.0138458061111,"TP","UPR","REF",876.899728762222,1.65945612990741,-18.3709331148056,-47.9834134272593
"17",17,"2021-07-15",879.408772558889,-18.3935920838056,1.65954547697778,-48.0713309153333,"TP","UPR","REF",876.899728762222,1.65945612990741,-18.3709331148056,-47.9834134272593
"18",18,"2021-07-15",870.848937772222,-18.0017479596111,1.66326558385556,-46.8650635603333,"TP","UPR","REF",876.899728762222,1.65945612990741,-18.3709331148056,-47.9834134272593
