"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-07-12",3324.58346172222,-21.6023494525278,2.22471274292222,-45.8737700217778,"LP","LWR","BDA",3495.36857341852,2.1313559615963,-21.7385904913796,-45.5716751664074
"2",2,"2021-07-12",3582.27453765556,-21.8540299560278,2.10922980403333,-43.4127682443333,"LP","LWR","BDA",3495.36857341852,2.1313559615963,-21.7385904913796,-45.5716751664074
"3",3,"2021-07-12",3579.24772087778,-21.7593920655833,2.06012533783333,-47.4284872331111,"LP","LWR","BDA",3495.36857341852,2.1313559615963,-21.7385904913796,-45.5716751664074
"4",4,"2021-07-12",4112.4498641,-22.3797456715833,7.65746067968889,-55.5917524481111,"LP","MID","BDA",4305.99231378518,6.99912448601482,-22.2574170561759,-55.5590143501111
"5",5,"2021-07-12",4328.14389806667,-21.9911171726944,6.98430766282222,-55.8877416403333,"LP","MID","BDA",4305.99231378518,6.99912448601482,-22.2574170561759,-55.5590143501111
"6",6,"2021-07-12",4477.38317918889,-22.40138832425,6.35560511553333,-55.1975489618889,"LP","MID","BDA",4305.99231378518,6.99912448601482,-22.2574170561759,-55.5590143501111
"7",7,"2021-07-12",4852.28888257778,-22.5498209571111,7.69047802507778,-58.9559581266667,"LP","UPR","BDA",4825.78531701111,8.00593030436667,-22.2746155826296,-58.8430449251852
"8",8,"2021-07-12",4808.53337417778,-22.1757618874722,7.52672025591111,-58.3195724214444,"LP","UPR","BDA",4825.78531701111,8.00593030436667,-22.2746155826296,-58.8430449251852
"9",9,"2021-07-12",4816.53369427778,-22.0982639033056,8.80059263211111,-59.2536042274444,"LP","UPR","BDA",4825.78531701111,8.00593030436667,-22.2746155826296,-58.8430449251852
"10",10,"2021-07-12",5074.94083473333,-22.4498417788889,3.13870568964444,-61.6634290917778,"LP","LWR","REF",5199.01000768148,3.06900639915185,-22.4537970635648,-61.6229727908148
"11",11,"2021-07-12",5318.7850121,-22.6141378488889,2.95590622077778,-60.645648185,"LP","LWR","REF",5199.01000768148,3.06900639915185,-22.4537970635648,-61.6229727908148
"12",12,"2021-07-12",5203.30417621111,-22.2974115629167,3.11240728703333,-62.5598410956667,"LP","LWR","REF",5199.01000768148,3.06900639915185,-22.4537970635648,-61.6229727908148
"13",13,"2021-07-12",6682.74173084444,-22.6224370472778,2.94868930453333,-61.8709162067778,"LP","MID","REF",6708.84698978148,2.62862765952963,-22.7326858574074,-60.8287557744444
"14",14,"2021-07-12",6758.93341706667,-22.7669552658056,3.31678880597778,-64.4981491216667,"LP","MID","REF",6708.84698978148,2.62862765952963,-22.7326858574074,-60.8287557744444
"15",15,"2021-07-12",6684.86582143333,-22.8086652591389,1.62040486807778,-56.1172019948889,"LP","MID","REF",6708.84698978148,2.62862765952963,-22.7326858574074,-60.8287557744444
"16",16,"2021-07-12",8771.70504351111,-22.9357462781111,0.278203947248889,13.5135993054778,"LP","UPR","REF",8871.82066611852,0.264034598397407,-22.8615960906389,19.4568748133852
"17",17,"2021-07-12",8917.43598265556,-22.7979676705278,0.252475597153333,7.98547663975556,"LP","UPR","REF",8871.82066611852,0.264034598397407,-22.8615960906389,19.4568748133852
"18",18,"2021-07-12",8926.32097218889,-22.8510743232778,0.26142425079,36.8715484949222,"LP","UPR","REF",8871.82066611852,0.264034598397407,-22.8615960906389,19.4568748133852
"19",19,"2021-07-13",893.085158148889,-19.1322647300833,6.54369140855556,-55.396954208,"FH","LWR","BDA",670.984340055556,6.98488696375926,-18.79449382225,-55.0071042161482
"20",20,"2021-07-13",571.045766152222,-18.1454749340556,6.94285263384444,-54.4755208238889,"FH","LWR","BDA",670.984340055556,6.98488696375926,-18.79449382225,-55.0071042161482
"21",21,"2021-07-13",548.822095865556,-19.1057418026111,7.46811684887778,-55.1488376165556,"FH","LWR","BDA",670.984340055556,6.98488696375926,-18.79449382225,-55.0071042161482
"22",22,"2021-07-13",556.743056108889,-18.2611675386389,8.32119202303333,-57.6735244564444,"FH","MID","BDA",557.392862469259,8.45316910764815,-18.5720135070093,-57.4271989228889
"23",23,"2021-07-13",551.62509248,-19.2308981478611,8.41294930008889,-57.4287402828889,"FH","MID","BDA",557.392862469259,8.45316910764815,-18.5720135070093,-57.4271989228889
"24",24,"2021-07-13",563.810438818889,-18.2239748345278,8.62536599982222,-57.1793320293333,"FH","MID","BDA",557.392862469259,8.45316910764815,-18.5720135070093,-57.4271989228889
"25",25,"2021-07-13",538.808042866667,-17.7944189308056,4.69043810713333,-55.5313780897778,"FH","UPR","BDA",571.434076818519,4.58725571297778,-18.2099768926389,-56.7860608715556
"26",26,"2021-07-13",622.993607254444,-18.5569711521667,4.36389756423333,-56.9671724287778,"FH","UPR","BDA",571.434076818519,4.58725571297778,-18.2099768926389,-56.7860608715556
"27",27,"2021-07-13",552.500580334444,-18.2785405949444,4.70743146756667,-57.8596320961111,"FH","UPR","BDA",571.434076818519,4.58725571297778,-18.2099768926389,-56.7860608715556
"28",28,"2021-07-13",527.582439192222,-18.7354696155556,1.62080333755556,-50.6608567917778,"FH","LWR","REF",535.102074752593,1.49593087578519,-19.1903480081296,-51.3844933571852
"29",29,"2021-07-13",532.884348348889,-19.2155698641389,1.43399930447778,-51.9424736592222,"FH","LWR","REF",535.102074752593,1.49593087578519,-19.1903480081296,-51.3844933571852
"30",30,"2021-07-13",544.839436716667,-19.6200045446944,1.43298998532222,-51.5501496205556,"FH","LWR","REF",535.102074752593,1.49593087578519,-19.1903480081296,-51.3844933571852
"31",31,"2021-07-13",522.849318127778,-18.1552154853056,1.71605483468889,-52.941780769,"FH","MID","REF",521.168240113333,1.70358521594074,-17.3527718321759,-53.5042274701481
"32",32,"2021-07-13",519.313062957778,-16.7976979171389,1.70272774513333,-55.5894618,"FH","MID","REF",521.168240113333,1.70358521594074,-17.3527718321759,-53.5042274701481
"33",33,"2021-07-13",521.342339254444,-17.1054020940833,1.691973068,-51.9814398414444,"FH","MID","REF",521.168240113333,1.70358521594074,-17.3527718321759,-53.5042274701481
"34",34,"2021-07-13",555.800583985556,-16.1976140881111,1.91857109501111,-52.039163711,"FH","UPR","REF",549.597657266296,1.94817313783333,-16.9784705407037,-53.3179131793333
"35",35,"2021-07-13",537.802807427778,-16.3682215560833,1.97184185698889,-53.3295427753333,"FH","UPR","REF",549.597657266296,1.94817313783333,-16.9784705407037,-53.3179131793333
"36",36,"2021-07-13",555.189580385556,-18.3695759779167,1.9541064615,-54.5850330516667,"FH","UPR","REF",549.597657266296,1.94817313783333,-16.9784705407037,-53.3179131793333
