"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",30,"2021-06-01",1795.89081475556,-21.6951688646111,3.99230379101111,-61.6797457406667,"LP","LWR","BDA",1848.08922234074,4.16143130003333,-21.6293143994259,-60.4226295001481
"2",31,"2021-06-01",1890.94978612222,-21.4700778694722,4.30709926182222,-60.1308958988889,"LP","LWR","BDA",1848.08922234074,4.16143130003333,-21.6293143994259,-60.4226295001481
"3",32,"2021-06-01",1857.42706614444,-21.7226964641944,4.18489084726667,-59.4572468608889,"LP","LWR","BDA",1848.08922234074,4.16143130003333,-21.6293143994259,-60.4226295001481
"4",33,"2021-06-01",2009.07850272222,-21.5597836603333,4.14141134248889,-58.7287402021111,"LP","MID","BDA",2015.66477120741,4.2304099170963,-21.4409358642685,-59.8122417007778
"5",34,"2021-06-01",2002.62402045556,-21.2403879283056,4.25613831663333,-60.43222756,"LP","MID","BDA",2015.66477120741,4.2304099170963,-21.4409358642685,-59.8122417007778
"6",35,"2021-06-01",2035.29179044444,-21.5226360041667,4.29368009216667,-60.2757573402222,"LP","MID","BDA",2015.66477120741,4.2304099170963,-21.4409358642685,-59.8122417007778
"7",36,"2021-06-01",2095.61490914444,-21.2898460320278,3.43716190274444,-60.7740883973333,"LP","UPR","BDA",2050.5395009037,3.44788818534444,-21.2309809102778,-59.2344261995185
"8",37,"2021-06-01",2038.32845714444,-21.3482196852778,3.40694222571111,-58.1523511846667,"LP","UPR","BDA",2050.5395009037,3.44788818534444,-21.2309809102778,-59.2344261995185
"9",38,"2021-06-01",2017.67513642222,-21.0548770135278,3.49956042757778,-58.7768390165556,"LP","UPR","BDA",2050.5395009037,3.44788818534444,-21.2309809102778,-59.2344261995185
"10",39,"2021-06-01",2137.18869427778,-21.5230780853611,1.05212445333333,-48.857134348,"LP","LWR","REF",2127.08559757778,1.05076411811481,-21.4212694441574,-49.8942486609259
"11",40,"2021-06-01",2116.62430601111,-21.4356219888889,1.04574234612222,-48.7705852001111,"LP","LWR","REF",2127.08559757778,1.05076411811481,-21.4212694441574,-49.8942486609259
"12",41,"2021-06-01",2127.44379244444,-21.3051082582222,1.05442555488889,-52.0550264346667,"LP","LWR","REF",2127.08559757778,1.05076411811481,-21.4212694441574,-49.8942486609259
"13",42,"2021-06-01",2115.69195321111,-21.4901691556944,0.829361917222222,-47.9467214306667,"LP","MID","REF",2073.81821321111,0.835081548240741,-21.2820347971852,-47.0987760665185
"14",43,"2021-06-01",2036.75152062222,-21.2878044511667,0.83025151427,-48.8649402008889,"LP","MID","REF",2073.81821321111,0.835081548240741,-21.2820347971852,-47.0987760665185
"15",44,"2021-06-01",2069.0111658,-21.0681307846944,0.84563121323,-44.484666568,"LP","MID","REF",2073.81821321111,0.835081548240741,-21.2820347971852,-47.0987760665185
"16",45,"2021-06-01",1746.31373044444,-20.7262947322778,0.770239883922222,-47.5815196031111,"LP","UPR","REF",1744.93920135185,0.778453005538518,-21.1042285898981,-41.3219954110741
"17",46,"2021-06-01",1705.02406955556,-21.2968196553333,0.797454756353333,-49.6468573058889,"LP","UPR","REF",1744.93920135185,0.778453005538518,-21.1042285898981,-41.3219954110741
"18",47,"2021-06-01",1783.47980405556,-21.2895713820833,0.76766437634,-26.7376093242222,"LP","UPR","REF",1744.93920135185,0.778453005538518,-21.1042285898981,-41.3219954110741
