"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-08-10",549.815455516667,-19.8166780915278,7.26479025713333,-56.4389193478889,"FH","LWR","BDA",560.172096345556,7.62455633294815,-20.2402740852593,-56.6300084467407
"2",2,"2021-08-10",572.678895891111,-19.7209878551389,7.9185716778,-56.5678473901111,"FH","LWR","BDA",560.172096345556,7.62455633294815,-20.2402740852593,-56.6300084467407
"3",3,"2021-08-10",558.021937628889,-21.1831563091111,7.69030706391111,-56.8832586022222,"FH","LWR","BDA",560.172096345556,7.62455633294815,-20.2402740852593,-56.6300084467407
"4",4,"2021-08-10",560.604101148889,-20.2797925198333,10.0081699249444,-59.1918623494444,"FH","MID","BDA",560.78402607037,10.2995976938704,-20.0850802560278,-58.6261284637037
"5",5,"2021-08-10",552.08831223,-19.8425005623056,10.5661574514444,-58.5950958595556,"FH","MID","BDA",560.78402607037,10.2995976938704,-20.0850802560278,-58.6261284637037
"6",6,"2021-08-10",569.659664832222,-20.1329476859444,10.3244657052222,-58.0914271821111,"FH","MID","BDA",560.78402607037,10.2995976938704,-20.0850802560278,-58.6261284637037
"7",7,"2021-08-10",542.854917026667,-20.3850992300278,3.24059580967778,-57.305120775,"FH","UPR","BDA",536.553887922222,3.37512259047778,-20.5819709713796,-58.3972299943333
"8",8,"2021-08-10",535.063752996667,-20.62819955925,3.38064654073333,-58.4066962941111,"FH","UPR","BDA",536.553887922222,3.37512259047778,-20.5819709713796,-58.3972299943333
"9",9,"2021-08-10",531.742993743333,-20.7326141248611,3.50412542102222,-59.4798729138889,"FH","UPR","BDA",536.553887922222,3.37512259047778,-20.5819709713796,-58.3972299943333
"10",10,"2021-08-10",538.531164506667,-19.5119285016944,2.02305588333333,-56.896913664,"FH","LWR","REF",524.55046574037,1.99489908952963,-19.8794204250741,-57.1260086996667
"11",11,"2021-08-10",513.55436849,-19.8459915115833,1.96852276128889,-56.8534445243333,"FH","LWR","REF",524.55046574037,1.99489908952963,-19.8794204250741,-57.1260086996667
"12",12,"2021-08-10",521.565864224444,-20.2803412619444,1.99311862396667,-57.6276679106667,"FH","LWR","REF",524.55046574037,1.99489908952963,-19.8794204250741,-57.1260086996667
"13",13,"2021-08-10",530.455542154444,-20.3384227339167,2.24054449111111,-59.5414805083333,"FH","MID","REF",527.84831776963,2.24260711798889,-20.0869408639444,-58.6363649708519
"14",14,"2021-08-10",526.165970087778,-19.4241132168889,2.23972540132222,-56.584848367,"FH","MID","REF",527.84831776963,2.24260711798889,-20.0869408639444,-58.6363649708519
"15",15,"2021-08-10",526.923441066667,-20.4982866410278,2.24755146153333,-59.7827660372222,"FH","MID","REF",527.84831776963,2.24260711798889,-20.0869408639444,-58.6363649708519
"16",16,"2021-08-10",558.848760155556,-19.9357977982222,2.34641879106667,-56.4998783158889,"FH","UPR","REF",545.669418868889,2.35099120263333,-19.7915078893704,-57.2429701299259
"17",17,"2021-08-10",546.900911464444,-19.2933631379722,2.35762102913333,-57.0774408281111,"FH","UPR","REF",545.669418868889,2.35099120263333,-19.7915078893704,-57.2429701299259
"18",18,"2021-08-10",531.258584986667,-20.1453627319167,2.3489337877,-58.1515912457778,"FH","UPR","REF",545.669418868889,2.35099120263333,-19.7915078893704,-57.2429701299259
