"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",15,"2021-06-02",498.320024294444,-17.7230989795556,1.59684432474444,-49.0013711684444,"FH","LWR","BDA",504.701440290741,1.71035062654444,-17.6837329578426,-49.9830019467778
"2",16,"2021-06-02",504.745952592222,-17.71381530325,1.72255785394444,-48.6104841186667,"FH","LWR","BDA",504.701440290741,1.71035062654444,-17.6837329578426,-49.9830019467778
"3",17,"2021-06-02",511.038343985556,-17.6142845907222,1.81164970094444,-52.3371505532222,"FH","LWR","BDA",504.701440290741,1.71035062654444,-17.6837329578426,-49.9830019467778
"4",18,"2021-06-02",595.282427287778,-17.5058754723889,1.94609849026667,-55.6691934387778,"FH","MID","BDA",546.781723822222,1.9894520000037,-17.6896491441296,-53.6493349169259
"5",19,"2021-06-02",520.519629131111,-17.9725495603889,2.00187397104444,-54.581832552,"FH","MID","BDA",546.781723822222,1.9894520000037,-17.6896491441296,-53.6493349169259
"6",20,"2021-06-02",524.543115047778,-17.5905223996111,2.0203835387,-50.69697876,"FH","MID","BDA",546.781723822222,1.9894520000037,-17.6896491441296,-53.6493349169259
"7",21,"2021-06-02",525.436436102222,-17.8880086666111,0.867965384254444,-36.7809984234444,"FH","UPR","BDA",547.508028251111,0.823074531932593,-17.7481294157407,-38.4517015648519
"8",22,"2021-06-02",529.822313201111,-17.7951663918889,0.815023547616667,-34.4470861077778,"FH","UPR","BDA",547.508028251111,0.823074531932593,-17.7481294157407,-38.4517015648519
"9",23,"2021-06-02",587.26533545,-17.5612131887222,0.786234663926667,-44.1270201633333,"FH","UPR","BDA",547.508028251111,0.823074531932593,-17.7481294157407,-38.4517015648519
"10",24,"2021-06-02",520.535085388889,-17.9177825104167,0.837369456632222,-46.4771837723333,"FH","LWR","REF",510.345478308889,0.820617002341481,-17.638046058787,-42.3986020927407
"11",25,"2021-06-02",509.625981274444,-17.2677382392778,0.835803038646667,-44.6711983567778,"FH","LWR","REF",510.345478308889,0.820617002341481,-17.638046058787,-42.3986020927407
"12",26,"2021-06-02",500.875368263333,-17.7286174266667,0.788678511745556,-36.0474241491111,"FH","LWR","REF",510.345478308889,0.820617002341481,-17.638046058787,-42.3986020927407
"13",27,"2021-06-02",508.1691376,-17.7904837248611,0.802824406368889,-45.5915344036667,"FH","MID","REF",556.906602315556,0.829823519667407,-17.6227665990833,-42.3268049817778
"14",28,"2021-06-02",584.100979831111,-16.9928587476389,0.896825413128889,-46.1631028035556,"FH","MID","REF",556.906602315556,0.829823519667407,-17.6227665990833,-42.3268049817778
"15",29,"2021-06-02",578.449689515556,-18.08495732475,0.789820739504444,-35.2257777381111,"FH","MID","REF",556.906602315556,0.829823519667407,-17.6227665990833,-42.3268049817778
"16",30,"2021-06-02",618.604856048889,-17.8905575511389,0.882385995567778,-39.7862401904444,"FH","UPR","REF",551.877603523704,0.884604996831481,-17.7437024393611,-39.8121498381852
"17",31,"2021-06-02",515.542165124444,-18.07936603025,0.867325018034444,-42.0382435085556,"FH","UPR","REF",551.877603523704,0.884604996831481,-17.7437024393611,-39.8121498381852
"18",32,"2021-06-02",521.485789397778,-17.2611837366944,0.904103976892222,-37.6119658155556,"FH","UPR","REF",551.877603523704,0.884604996831481,-17.7437024393611,-39.8121498381852
"19",15,"2021-06-03",498.320024294444,-17.7230989795556,1.59684432474444,-49.0013711684444,"TP","LWR","BDA",504.701440290741,1.71035062654444,-17.6837329578426,-49.9830019467778
"20",16,"2021-06-03",504.745952592222,-17.71381530325,1.72255785394444,-48.6104841186667,"TP","LWR","BDA",504.701440290741,1.71035062654444,-17.6837329578426,-49.9830019467778
"21",17,"2021-06-03",511.038343985556,-17.6142845907222,1.81164970094444,-52.3371505532222,"TP","LWR","BDA",504.701440290741,1.71035062654444,-17.6837329578426,-49.9830019467778
"22",18,"2021-06-03",595.282427287778,-17.5058754723889,1.94609849026667,-55.6691934387778,"TP","MID","BDA",546.781723822222,1.9894520000037,-17.6896491441296,-53.6493349169259
"23",19,"2021-06-03",520.519629131111,-17.9725495603889,2.00187397104444,-54.581832552,"TP","MID","BDA",546.781723822222,1.9894520000037,-17.6896491441296,-53.6493349169259
"24",20,"2021-06-03",524.543115047778,-17.5905223996111,2.0203835387,-50.69697876,"TP","MID","BDA",546.781723822222,1.9894520000037,-17.6896491441296,-53.6493349169259
"25",21,"2021-06-03",525.436436102222,-17.8880086666111,0.867965384254444,-36.7809984234444,"TP","UPR","BDA",547.508028251111,0.823074531932593,-17.7481294157407,-38.4517015648519
"26",22,"2021-06-03",529.822313201111,-17.7951663918889,0.815023547616667,-34.4470861077778,"TP","UPR","BDA",547.508028251111,0.823074531932593,-17.7481294157407,-38.4517015648519
"27",23,"2021-06-03",587.26533545,-17.5612131887222,0.786234663926667,-44.1270201633333,"TP","UPR","BDA",547.508028251111,0.823074531932593,-17.7481294157407,-38.4517015648519
"28",24,"2021-06-03",520.535085388889,-17.9177825104167,0.837369456632222,-46.4771837723333,"TP","LWR","REF",510.345478308889,0.820617002341481,-17.638046058787,-42.3986020927407
"29",25,"2021-06-03",509.625981274444,-17.2677382392778,0.835803038646667,-44.6711983567778,"TP","LWR","REF",510.345478308889,0.820617002341481,-17.638046058787,-42.3986020927407
"30",26,"2021-06-03",500.875368263333,-17.7286174266667,0.788678511745556,-36.0474241491111,"TP","LWR","REF",510.345478308889,0.820617002341481,-17.638046058787,-42.3986020927407
"31",27,"2021-06-03",508.1691376,-17.7904837248611,0.802824406368889,-45.5915344036667,"TP","MID","REF",556.906602315556,0.829823519667407,-17.6227665990833,-42.3268049817778
"32",28,"2021-06-03",584.100979831111,-16.9928587476389,0.896825413128889,-46.1631028035556,"TP","MID","REF",556.906602315556,0.829823519667407,-17.6227665990833,-42.3268049817778
"33",29,"2021-06-03",578.449689515556,-18.08495732475,0.789820739504444,-35.2257777381111,"TP","MID","REF",556.906602315556,0.829823519667407,-17.6227665990833,-42.3268049817778
"34",30,"2021-06-03",618.604856048889,-17.8905575511389,0.882385995567778,-39.7862401904444,"TP","UPR","REF",551.877603523704,0.884604996831481,-17.7437024393611,-39.8121498381852
"35",31,"2021-06-03",515.542165124444,-18.07936603025,0.867325018034444,-42.0382435085556,"TP","UPR","REF",551.877603523704,0.884604996831481,-17.7437024393611,-39.8121498381852
"36",32,"2021-06-03",521.485789397778,-17.2611837366944,0.904103976892222,-37.6119658155556,"TP","UPR","REF",551.877603523704,0.884604996831481,-17.7437024393611,-39.8121498381852
