"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-08-29",1269.64689788889,-30.0543612538333,5.02856110202222,-57.5233981926667,"TP","LWR","BDA",1231.76827728519,5.2227458391037,-24.4971421687315,-55.7776869626296
"2",2,"2021-08-29",1209.25569841111,-21.8499253245556,5.35076728577778,-55.9385885598889,"TP","LWR","BDA",1231.76827728519,5.2227458391037,-24.4971421687315,-55.7776869626296
"3",3,"2021-08-29",1216.40223555556,-21.5871399278056,5.28890912951111,-53.8710741353333,"TP","LWR","BDA",1231.76827728519,5.2227458391037,-24.4971421687315,-55.7776869626296
"4",4,"2021-08-29",1437.45734398889,-21.0714193093889,15.7797380698889,-58.0958307747778,"TP","MID","BDA",1458.71044511481,16.5405215947407,-21.1782038582222,-57.6579327511852
"5",5,"2021-08-29",1474.95488456667,-21.1246266094167,16.9136184894444,-57.4201855984444,"TP","MID","BDA",1458.71044511481,16.5405215947407,-21.1782038582222,-57.6579327511852
"6",6,"2021-08-29",1463.71910678889,-21.3385656558611,16.9282082248889,-57.4577818803333,"TP","MID","BDA",1458.71044511481,16.5405215947407,-21.1782038582222,-57.6579327511852
"7",7,"2021-08-29",1334.84978515556,-20.8840770043333,6.4281760035,-51.4728398373333,"TP","UPR","BDA",1324.00945278148,6.13498090521111,-20.6752257996944,-50.7311163461111
"8",8,"2021-08-29",1295.99444722222,-20.3878517168889,6.18749586742222,-50.8642352805556,"TP","UPR","BDA",1324.00945278148,6.13498090521111,-20.6752257996944,-50.7311163461111
"9",9,"2021-08-29",1341.18412596667,-20.7537486778611,5.78927084471111,-49.8562739204444,"TP","UPR","BDA",1324.00945278148,6.13498090521111,-20.6752257996944,-50.7311163461111
"10",10,"2021-08-29",1300.56781003333,-20.3189584543056,57.6086128095556,-69.0313951254444,"TP","LWR","REF",1304.71729945926,59.155872101963,-20.2216809515,-65.0200925924074
"11",11,"2021-08-29",1282.36745257778,-19.7269433478611,59.9421583252222,-60.7888796814444,"TP","LWR","REF",1304.71729945926,59.155872101963,-20.2216809515,-65.0200925924074
"12",12,"2021-08-29",1331.21663576667,-20.6191410523333,59.9168451711111,-65.2400029703333,"TP","LWR","REF",1304.71729945926,59.155872101963,-20.2216809515,-65.0200925924074
"13",13,"2021-08-29",1057.50750743333,-19.8855226600556,7.64875260467778,-59.5611996124444,"TP","MID","REF",1044.84893366296,4.399290388,-19.8368166126667,-54.5298713689259
"14",14,"2021-08-29",1039.62270026667,-19.5225371263611,2.82144534758889,-51.8011321478889,"TP","MID","REF",1044.84893366296,4.399290388,-19.8368166126667,-54.5298713689259
"15",15,"2021-08-29",1037.41659328889,-20.1023900515833,2.72767321173333,-52.2272823464444,"TP","MID","REF",1044.84893366296,4.399290388,-19.8368166126667,-54.5298713689259
"16",16,"2021-08-29",1099.79380174444,-20.5158432845556,1.79240987557778,-53.5706454718889,"TP","UPR","REF",1107.84256240741,1.7762699836,-20.4470537560648,-53.4059289682963
"17",17,"2021-08-29",1110.39310638889,-20.3646055660833,1.8194794859,-52.9229540678889,"TP","UPR","REF",1107.84256240741,1.7762699836,-20.4470537560648,-53.4059289682963
"18",18,"2021-08-29",1113.34077908889,-20.4607124175556,1.71692058932222,-53.7241873651111,"TP","UPR","REF",1107.84256240741,1.7762699836,-20.4470537560648,-53.4059289682963
