"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-07-26",4753.45649706667,-23.2465518799167,2.59971580391111,-48.2421661504444,"LP","LWR","BDA",4980.6398689963,2.58076994024815,-23.4089749479167,-48.1616936948889
"2",2,"2021-07-26",5125.63971891111,-23.6252631094167,2.57466358088889,-47.8646334874444,"LP","LWR","BDA",4980.6398689963,2.58076994024815,-23.4089749479167,-48.1616936948889
"3",3,"2021-07-26",5062.82339101111,-23.3551098544167,2.56793043594444,-48.3782814467778,"LP","LWR","BDA",4980.6398689963,2.58076994024815,-23.4089749479167,-48.1616936948889
"4",4,"2021-07-26",5673.65820001111,-23.4405612302778,9.77983090842222,-58.2710910241111,"LP","MID","BDA",5669.29463878889,9.76781933502593,-23.457152103213,-58.6782252205926
"5",5,"2021-07-26",5586.41321903333,-23.3531332533056,9.4907856001,-58.7896261521111,"LP","MID","BDA",5669.29463878889,9.76781933502593,-23.457152103213,-58.6782252205926
"6",6,"2021-07-26",5747.81249732222,-23.5777618260556,10.0328414965556,-58.9739584855556,"LP","MID","BDA",5669.29463878889,9.76781933502593,-23.457152103213,-58.6782252205926
"7",7,"2021-07-26",5755.23082262222,-23.3068521938333,5.52315239583333,-49.9456888841111,"LP","UPR","BDA",5774.28532706296,5.81613500654815,-23.4301472954815,-50.9883258841111
"8",8,"2021-07-26",5840.8212445,-23.7343276367778,6.21963158876667,-51.4723252784444,"LP","UPR","BDA",5774.28532706296,5.81613500654815,-23.4301472954815,-50.9883258841111
"9",9,"2021-07-26",5726.80391406667,-23.2492620558333,5.70562103504444,-51.5469634897778,"LP","UPR","BDA",5774.28532706296,5.81613500654815,-23.4301472954815,-50.9883258841111
"10",10,"2021-07-26",6188.85577546667,-23.4199928568611,3.7564042456,-61.6892504744444,"LP","LWR","REF",6292.6215676037,3.5736182209963,-23.3814921862593,-62.061219187
"11",11,"2021-07-26",6374.53035593333,-23.4350759469722,3.5046357065,-62.0167287065556,"LP","LWR","REF",6292.6215676037,3.5736182209963,-23.3814921862593,-62.061219187
"12",12,"2021-07-26",6314.47857141111,-23.2894077549444,3.45981471088889,-62.47767838,"LP","LWR","REF",6292.6215676037,3.5736182209963,-23.3814921862593,-62.061219187
"13",13,"2021-07-26",7005.80185203333,-23.2917595620556,1.31907080776667,-61.1860808491111,"LP","MID","REF",6855.202049,1.57183756518889,-23.3667077089444,-61.7410038622593
"14",14,"2021-07-26",6931.20446273333,-23.4403342366667,1.65198531335556,-63.9653336402222,"LP","MID","REF",6855.202049,1.57183756518889,-23.3667077089444,-61.7410038622593
"15",15,"2021-07-26",6628.59983223333,-23.3680293281111,1.74445657444444,-60.0715970974444,"LP","MID","REF",6855.202049,1.57183756518889,-23.3667077089444,-61.7410038622593
"16",16,"2021-07-26",9959.34632763333,-23.4136952472778,0.193497302753333,-17.3081127070222,"LP","UPR","REF",9964.36592561111,0.17895226537963,-23.4559790770185,0.943730468791112
"17",17,"2021-07-26",10031.3110322222,-23.5802161216389,0.186690553438889,27.5556659395333,"LP","UPR","REF",9964.36592561111,0.17895226537963,-23.4559790770185,0.943730468791112
"18",18,"2021-07-26",9902.44041697778,-23.3740258621389,0.156668939946667,-7.41636182613778,"LP","UPR","REF",9964.36592561111,0.17895226537963,-23.4559790770185,0.943730468791112
