DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              
2021-08-25                18:17:17.884              236.76201255              5682.288301               1629915437.884            0                         963                       0.0000000000E+00          1.4800836678E+02          4.4998558044E+01          4.4998649597E+01          4.4729087830E+01          4.3018489583E+01          0.0000000000E+00          0.0000000000E+00          2.8822291707E+04          1.0000000000E+00          1.5000000000E+02          1.9581679978E+00          1.9830593834E+00          2.1276574791E-02          2.0867090659E-02          -4.5209950361E+01         -4.5209950361E+01         -4.8845158449E+01         -4.9769997026E+01         -4.9326288796E+01         1.9351852310E+00          1.9677033324E+00          -5.6277800460E+01         -5.7426825862E+01         -5.7002356384E+01         -5.5323351659E+01         0.0000000000E+00          1.0274465971E+00          4.4450319498E+02          4.5268583623E+02          5.0388274795E+00          -9.4544021476E+00         -1.0784357481E+01         -1.0928450037E+01         -1.1016474696E+01         2.7189788702E+02          8.0096348852E+00          2.7138386306E+00          4.5243923361E+00          4.5175218822E+02          6.2674242422E+01          6.2907220974E+01          0.0000000000E+00          6.9130923422E-02          6.5731036970E-01          -2.0080323206E-01         1.2004045115E-04          1.9359412964E+00          1.0332001276E+00          -3.1767944195E-01         -8.3465576735E-03         1.4202979639E-02          2.8954272356E+00          
2021-08-25                18:17:19.201              236.76202780              5682.288667               1629915439.202            0                         963                       0.0000000000E+00          1.4797166912E+02          4.4998558044E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8782503870E+04          1.0000000000E+00          1.0600000000E+02          1.9581679978E+00          1.9830593834E+00          2.1276574791E-02          2.0867090659E-02          -4.5209950361E+01         -4.5209950361E+01         -4.8845158449E+01         -4.9769997026E+01         -4.9326288796E+01         1.9351852310E+00          1.9677033324E+00          -5.6277800460E+01         -5.7426825862E+01         -5.7002356384E+01         -5.5323351659E+01         0.0000000000E+00          1.0274465971E+00          4.4450319498E+02          4.5268583623E+02          5.0388274795E+00          -9.4544021476E+00         -1.0784357481E+01         -1.0928450037E+01         -1.1016474696E+01         2.7189788702E+02          7.9925169161E+00          2.7138386306E+00          4.5243923361E+00          4.5175218822E+02          6.2674242422E+01          6.2907220974E+01          0.0000000000E+00          6.9130923422E-02          6.5731036970E-01          -2.0080323206E-01         1.2004045115E-04          1.9359412964E+00          1.0332001276E+00          -3.1767944195E-01         -8.3465576735E-03         1.4202979639E-02          2.8954272356E+00          
2021-08-25                18:17:19.717              236.76203376              5682.288810               1629915439.717            0                         963                       0.0000000000E+00          1.4796283388E+02          4.4998569489E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8769042664E+04          1.0000000000E+00          1.0500000000E+02          1.9581679978E+00          1.9830593834E+00          2.1276574791E-02          2.0867090659E-02          -4.5209950361E+01         -4.5209950361E+01         -4.8845158449E+01         -4.9769997026E+01         -4.9326288796E+01         1.9351852310E+00          1.9677033324E+00          -5.6277800460E+01         -5.7426825862E+01         -5.7002356384E+01         -5.5323351659E+01         0.0000000000E+00          1.0274465971E+00          4.4450536705E+02          4.5268552111E+02          5.0388239719E+00          -9.4544021476E+00         -1.0784357481E+01         -1.0928450037E+01         -1.1016474696E+01         2.7189921606E+02          7.9925169161E+00          2.7138386306E+00          4.5243923361E+00          4.5175218822E+02          6.2674242422E+01          6.2907220974E+01          0.0000000000E+00          6.9130923422E-02          6.5731036970E-01          -2.0080323206E-01         1.2004045115E-04          1.9359412964E+00          1.0332001276E+00          -3.1767944195E-01         -8.3465576735E-03         1.4202979639E-02          2.8954272356E+00          
2021-08-25                18:17:20.237              236.76203979              5682.288955               1629915440.238            0                         963                       0.0000000000E+00          1.4797502209E+02          4.4998680115E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8767447731E+04          1.0000000000E+00          1.0600000000E+02          1.9581679978E+00          1.9830593834E+00          2.1276574791E-02          2.0867090659E-02          -4.5209950361E+01         -4.5209950361E+01         -4.8845158449E+01         -4.9769997026E+01         -4.9326288796E+01         1.9351852310E+00          1.9677033324E+00          -5.6277800460E+01         -5.7426825862E+01         -5.7002356384E+01         -5.5323351659E+01         0.0000000000E+00          1.0274465971E+00          4.4450536705E+02          4.5268552111E+02          5.0235116972E+00          -1.2464530369E+01         -1.0910809973E+01         -1.0969864530E+01         -1.1042149258E+01         2.7189921606E+02          7.9893973178E+00          2.7138386306E+00          4.5243923361E+00          4.5175218822E+02          6.2674242422E+01          6.2907220974E+01          0.0000000000E+00          6.9130923422E-02          6.5731036970E-01          -2.0080323206E-01         1.2004045115E-04          1.9359412964E+00          1.0332001276E+00          -3.1767944195E-01         -8.3465576735E-03         1.4202979639E-02          2.8954272356E+00          
2021-08-25                18:17:21.624              236.76205583              5682.289340               1629915441.624            0                         963                       0.0000000000E+00          1.4800658655E+02          4.4998680115E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8792416838E+04          1.0000000000E+00          1.5000000000E+02          1.9586190616E+00          1.9835526750E+00          2.1128379123E-02          2.0815290936E-02          -5.2096050912E+01         -5.2096050912E+01         -4.8640036548E+01         -4.9659132746E+01         -4.9409915549E+01         1.9351197104E+00          1.9676265256E+00          -5.8583715871E+01         -5.6683831390E+01         -5.7000474117E+01         -5.5437725094E+01         0.0000000000E+00          1.0288951827E+00          4.4450536705E+02          4.5268552111E+02          5.0235116972E+00          -1.2464530369E+01         -1.0910809973E+01         -1.0969864530E+01         -1.1042149258E+01         2.7189921606E+02          7.9893973178E+00          2.6963801145E+00          4.5065509626E+00          4.5197788020E+02          6.2762606144E+01          6.2995695073E+01          0.0000000000E+00          6.1528191619E-02          6.2085519835E-01          -2.0065474567E-01         1.2148553603E-04          1.9304475188E+00          1.0334060288E+00          -1.5061805578E-01         -8.0433024353E-03         1.2826579774E-02          9.5508408114E-01          
2021-08-25                18:17:22.934              236.76207100              5682.289704               1629915442.934            0                         963                       0.0000000000E+00          1.4799999380E+02          4.4998680115E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8796733223E+04          1.0000000000E+00          1.0600000000E+02          1.9586190616E+00          1.9835526750E+00          2.1128379123E-02          2.0815290936E-02          -5.2096050912E+01         -5.2096050912E+01         -4.8640036548E+01         -4.9659132746E+01         -4.9409915549E+01         1.9351197104E+00          1.9676265256E+00          -5.8583715871E+01         -5.6683831390E+01         -5.7000474117E+01         -5.5437725094E+01         0.0000000000E+00          1.0288951827E+00          4.4450536705E+02          4.5268552111E+02          5.0235116972E+00          -1.2464530369E+01         -1.0910809973E+01         -1.0969864530E+01         -1.1042149258E+01         2.7189921606E+02          8.0003020158E+00          2.6963801145E+00          4.5065509626E+00          4.5197788020E+02          6.2762606144E+01          6.2995695073E+01          0.0000000000E+00          6.1528191619E-02          6.2085519835E-01          -2.0065474567E-01         1.2148553603E-04          1.9304475188E+00          1.0334060288E+00          -1.5061805578E-01         -8.0433024353E-03         1.2826579774E-02          9.5508408114E-01          
2021-08-25                18:17:23.444              236.76207690              5682.289846               1629915443.444            0                         963                       0.0000000000E+00          1.4802919006E+02          4.4998680115E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8825736328E+04          1.0000000000E+00          1.0500000000E+02          1.9586190616E+00          1.9835526750E+00          2.1128379123E-02          2.0815290936E-02          -5.2096050912E+01         -5.2096050912E+01         -4.8640036548E+01         -4.9659132746E+01         -4.9409915549E+01         1.9351197104E+00          1.9676265256E+00          -5.8583715871E+01         -5.6683831390E+01         -5.7000474117E+01         -5.5437725094E+01         0.0000000000E+00          1.0288951827E+00          4.4440904384E+02          4.5259939716E+02          5.0225559683E+00          -1.2464530369E+01         -1.0910809973E+01         -1.0969864530E+01         -1.1042149258E+01         2.7184027776E+02          8.0003020158E+00          2.6963801145E+00          4.5065509626E+00          4.5197788020E+02          6.2762606144E+01          6.2995695073E+01          0.0000000000E+00          6.1528191619E-02          6.2085519835E-01          -2.0065474567E-01         1.2148553603E-04          1.9304475188E+00          1.0334060288E+00          -1.5061805578E-01         -8.0433024353E-03         1.2826579774E-02          9.5508408114E-01          
2021-08-25                18:17:23.951              236.76208278              5682.289987               1629915443.952            0                         963                       0.0000000000E+00          1.4800491238E+02          4.4998680115E+01          4.4998649597E+01          4.4729087830E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8806450041E+04          1.0000000000E+00          1.0600000000E+02          1.9586190616E+00          1.9835526750E+00          2.1128379123E-02          2.0815290936E-02          -5.2096050912E+01         -5.2096050912E+01         -4.8640036548E+01         -4.9659132746E+01         -4.9409915549E+01         1.9351197104E+00          1.9676265256E+00          -5.8583715871E+01         -5.6683831390E+01         -5.7000474117E+01         -5.5437725094E+01         0.0000000000E+00          1.0288951827E+00          4.4440904384E+02          4.5259939716E+02          5.0267822465E+00          -1.1633559105E+01         -1.0934768547E+01         -1.0980879759E+01         -1.1056661559E+01         2.7184027776E+02          7.9917161767E+00          2.6963801145E+00          4.5065509626E+00          4.5197788020E+02          6.2762606144E+01          6.2995695073E+01          0.0000000000E+00          6.1528191619E-02          6.2085519835E-01          -2.0065474567E-01         1.2148553603E-04          1.9304475188E+00          1.0334060288E+00          -1.5061805578E-01         -8.0433024353E-03         1.2826579774E-02          9.5508408114E-01          
2021-08-25                18:17:25.313              236.76209854              5682.290365               1629915445.314            0                         963                       0.0000000000E+00          1.4798803329E+02          4.4998581187E+01          4.4998575401E+01          4.4729211489E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8782811747E+04          1.0000000000E+00          1.5000000000E+02          1.9581389251E+00          1.9830412918E+00          2.1338704512E-02          2.0975527796E-02          -4.2413132048E+01         -4.2413132048E+01         -4.7780417658E+01         -4.9406581591E+01         -4.9388785215E+01         1.9310720413E+00          1.9635589703E+00          -4.9371482558E+01         -5.6092721218E+01         -5.6620354051E+01         -5.5394963144E+01         0.0000000000E+00          1.0278971977E+00          4.4440904384E+02          4.5259939716E+02          5.0267822465E+00          -1.1633559105E+01         -1.0934768547E+01         -1.0980879759E+01         -1.1056661559E+01         2.7184027776E+02          7.9917161767E+00          2.7222953261E+00          4.5038705224E+00          4.5189142695E+02          6.2701729059E+01          6.2934834571E+01          0.0000000000E+00          6.2330232237E-02          7.4429001044E-01          -1.8283812532E-01         5.7955636558E-05          1.9462676542E+00          1.0334628546E+00          -5.4424299395E-01         -1.0082450431E-02         1.2930093316E-02          5.1379342662E+00          
2021-08-25                18:17:26.599              236.76211343              5682.290722               1629915446.600            0                         963                       0.0000000000E+00          1.4800013247E+02          4.4998558044E+01          4.4998558044E+01          4.4729240417E+01          4.3000000000E+01          0.0000000000E+00          0.0000000000E+00          2.8783975446E+04          1.0000000000E+00          1.0600000000E+02          1.9581389251E+00          1.9830412918E+00          2.1338704512E-02          2.0975527796E-02          -4.2413132048E+01         -4.2413132048E+01         -4.7780417658E+01         -4.9406581591E+01         -4.9388785215E+01         1.9310720413E+00          1.9635589703E+00          -4.9371482558E+01         -5.6092721218E+01         -5.6620354051E+01         -5.5394963144E+01         0.0000000000E+00          1.0278971977E+00          4.4440904384E+02          4.5259939716E+02          5.0267822465E+00          -1.1633559105E+01         -1.0934768547E+01         -1.0980879759E+01         -1.1056661559E+01         2.7184027776E+02          8.0093219825E+00          2.7222953261E+00          4.5038705224E+00          4.5189142695E+02          6.2701729059E+01          6.2934834571E+01          0.0000000000E+00          6.2330232237E-02          7.4429001044E-01          -1.8283812532E-01         5.7955636558E-05          1.9462676542E+00          1.0334628546E+00          -5.4424299395E-01         -1.0082450431E-02         1.2930093316E-02          5.1379342662E+00          
