DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              
2021-09-09                15:27:06.444              251.64382459              6039.451790               1631201226.445            0                         963                       0.0000000000E+00          1.4799186036E+02          4.4996055603E+01          4.4993278503E+01          4.4724052429E+01          4.4708593750E+01          0.0000000000E+00          0.0000000000E+00          2.9581036646E+04          1.0000000000E+00          1.5000000000E+02          -1.2737548423E-03         -1.2736317905E-03         -1.5670295637E-04         4.8930657615E-05          9.9490184785E+03          9.9490184785E+03          -1.4635539829E+01         1.6995569570E+03          6.3123408511E+02          3.7102152360E-03          3.7109749629E-03          1.7336983131E+02          -5.3442247119E+02         -1.1701144239E+03         -5.1369748555E+02         0.0000000000E+00          2.1527061904E-02          5.4935327358E+00          5.4955112793E+00          5.5029826474E-02          -1.0888874440E+02         2.3137224433E+01          1.4962651105E+01          -6.1059046847E+00         3.2763591882E+00          8.1765358449E-02          1.2047345786E-02          1.5366057462E-02          1.4802560070E-01          1.3131507761E+00          1.5740248049E+00          0.0000000000E+00          2.7822376787E-02          1.3657097497E-02          -3.8759629995E-01         6.5486063420E-04          -3.5795664316E-03         2.6020684355E-02          2.1437698681E-01          -9.5306778863E-03         1.8612128932E-04          5.1141067567E+00          
2021-09-09                15:27:07.726              251.64383942              6039.452146               1631201227.726            0                         963                       0.0000000000E+00          1.4799119803E+02          4.4996055603E+01          4.4993278503E+01          4.4724052429E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9583971154E+04          1.0000000000E+00          1.0600000000E+02          -1.2737548423E-03         -1.2736317905E-03         -1.5670295637E-04         4.8930657615E-05          9.9490184785E+03          9.9490184785E+03          -1.4635539829E+01         1.6995569570E+03          6.3123408511E+02          3.7102152360E-03          3.7109749629E-03          1.7336983131E+02          -5.3442247119E+02         -1.1701144239E+03         -5.1369748555E+02         0.0000000000E+00          2.1527061904E-02          5.4935327358E+00          5.4955112793E+00          5.5029826474E-02          -1.0888874440E+02         2.3137224433E+01          1.4962651105E+01          -6.1059046847E+00         3.2763591882E+00          8.0773856007E-02          1.2047345786E-02          1.5366057462E-02          1.4802560070E-01          1.3131507761E+00          1.5740248049E+00          0.0000000000E+00          2.7822376787E-02          1.3657097497E-02          -3.8759629995E-01         6.5486063420E-04          -3.5795664316E-03         2.6020684355E-02          2.1437698681E-01          -9.5306778863E-03         1.8612128932E-04          5.1141067567E+00          
2021-09-09                15:27:08.244              251.64384543              6039.452290               1631201228.245            0                         963                       0.0000000000E+00          1.4800998974E+02          4.4996055603E+01          4.4993278503E+01          4.4724052429E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9604176147E+04          1.0000000000E+00          1.0500000000E+02          -1.2737548423E-03         -1.2736317905E-03         -1.5670295637E-04         4.8930657615E-05          9.9490184785E+03          9.9490184785E+03          -1.4635539829E+01         1.6995569570E+03          6.3123408511E+02          3.7102152360E-03          3.7109749629E-03          1.7336983131E+02          -5.3442247119E+02         -1.1701144239E+03         -5.1369748555E+02         0.0000000000E+00          2.1527061904E-02          5.4256162298E+00          5.4275809337E+00          5.4349599479E-02          -1.0888874440E+02         2.3137224433E+01          1.4962651105E+01          -6.1059046847E+00         3.2348023907E+00          8.0773856007E-02          1.2047345786E-02          1.5366057462E-02          1.4802560070E-01          1.3131507761E+00          1.5740248049E+00          0.0000000000E+00          2.7822376787E-02          1.3657097497E-02          -3.8759629995E-01         6.5486063420E-04          -3.5795664316E-03         2.6020684355E-02          2.1437698681E-01          -9.5306778863E-03         1.8612128932E-04          5.1141067567E+00          
2021-09-09                15:27:08.765              251.64385145              6039.452435               1631201228.765            0                         963                       0.0000000000E+00          1.4802752686E+02          4.4996055603E+01          4.4993278503E+01          4.4724052429E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9622328125E+04          1.0000000000E+00          1.0600000000E+02          -1.2737548423E-03         -1.2736317905E-03         -1.5670295637E-04         4.8930657615E-05          9.9490184785E+03          9.9490184785E+03          -1.4635539829E+01         1.6995569570E+03          6.3123408511E+02          3.7102152360E-03          3.7109749629E-03          1.7336983131E+02          -5.3442247119E+02         -1.1701144239E+03         -5.1369748555E+02         0.0000000000E+00          2.1527061904E-02          5.4256162298E+00          5.4275809337E+00          6.0221207491E-02          -1.2618375556E+01         1.6538460285E+01          1.5434894485E+01          -6.0362688026E+00         3.2348023907E+00          9.6441648539E-02          1.2047345786E-02          1.5366057462E-02          1.4802560070E-01          1.3131507761E+00          1.5740248049E+00          0.0000000000E+00          2.7822376787E-02          1.3657097497E-02          -3.8759629995E-01         6.5486063420E-04          -3.5795664316E-03         2.6020684355E-02          2.1437698681E-01          -9.5306778863E-03         1.8612128932E-04          5.1141067567E+00          
2021-09-09                15:27:10.141              251.64386737              6039.452817               1631201230.141            0                         963                       0.0000000000E+00          1.4798036791E+02          4.4995988464E+01          4.4993166606E+01          4.4723962911E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9571898861E+04          1.0000000000E+00          1.5000000000E+02          -1.0602645868E-03         -1.0600829581E-03         -5.5424017648E-05         5.1364924084E-05          3.6526463296E+03          3.6526463296E+03          -5.2258406397E+02         1.9913476666E+03          6.7653256857E+02          5.2297720299E-03          5.2310443811E-03          -1.2618371269E+02         -5.3859153121E+02         -1.1147419907E+03         -5.1511958017E+02         0.0000000000E+00          2.2003157525E-02          5.4256162298E+00          5.4275809337E+00          6.0221207491E-02          -1.2618375556E+01         1.6538460285E+01          1.5434894485E+01          -6.0362688026E+00         3.2348023907E+00          9.6441648539E-02          7.8779096729E-03          1.3307353915E-02          1.9992177022E-01          1.3421926090E+00          1.6030793741E+00          0.0000000000E+00          2.8176315332E-02          6.1884217805E-02          -3.2312905818E-01         8.1009989934E-04          -1.0652590893E-04         2.6519568443E-02          6.2093042885E-02          -1.0339824995E-02         -1.0277263952E-04         7.0970088328E+00          
2021-09-09                15:27:11.440              251.64388242              6039.453178               1631201231.441            0                         963                       0.0000000000E+00          1.4799101246E+02          4.4995964050E+01          4.4993125916E+01          4.4723930359E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9573339028E+04          1.0000000000E+00          1.0600000000E+02          -1.0602645868E-03         -1.0600829581E-03         -5.5424017648E-05         5.1364924084E-05          3.6526463296E+03          3.6526463296E+03          -5.2258406397E+02         1.9913476666E+03          6.7653256857E+02          5.2297720299E-03          5.2310443811E-03          -1.2618371269E+02         -5.3859153121E+02         -1.1147419907E+03         -5.1511958017E+02         0.0000000000E+00          2.2003157525E-02          5.4256162298E+00          5.4275809337E+00          6.0221207491E-02          -1.2618375556E+01         1.6538460285E+01          1.5434894485E+01          -6.0362688026E+00         3.2348023907E+00          8.7066265124E-02          7.8779096729E-03          1.3307353915E-02          1.9992177022E-01          1.3421926090E+00          1.6030793741E+00          0.0000000000E+00          2.8176315332E-02          6.1884217805E-02          -3.2312905818E-01         8.1009989934E-04          -1.0652590893E-04         2.6519568443E-02          6.2093042885E-02          -1.0339824995E-02         -1.0277263952E-04         7.0970088328E+00          
2021-09-09                15:27:11.956              251.64388838              6039.453321               1631201231.956            0                         963                       0.0000000000E+00          1.4800911617E+02          4.4995964050E+01          4.4993125916E+01          4.4723930359E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9600275879E+04          1.0000000000E+00          1.0500000000E+02          -1.0602645868E-03         -1.0600829581E-03         -5.5424017648E-05         5.1364924084E-05          3.6526463296E+03          3.6526463296E+03          -5.2258406397E+02         1.9913476666E+03          6.7653256857E+02          5.2297720299E-03          5.2310443811E-03          -1.2618371269E+02         -5.3859153121E+02         -1.1147419907E+03         -5.1511958017E+02         0.0000000000E+00          2.2003157525E-02          5.4074564126E+00          5.4094577051E+00          6.0020122933E-02          -1.2618375556E+01         1.6538460285E+01          1.5434894485E+01          -6.0362688026E+00         3.2236907496E+00          8.7066265124E-02          7.8779096729E-03          1.3307353915E-02          1.9992177022E-01          1.3421926090E+00          1.6030793741E+00          0.0000000000E+00          2.8176315332E-02          6.1884217805E-02          -3.2312905818E-01         8.1009989934E-04          -1.0652590893E-04         2.6519568443E-02          6.2093042885E-02          -1.0339824995E-02         -1.0277263952E-04         7.0970088328E+00          
2021-09-09                15:27:12.473              251.64389436              6039.453465               1631201232.473            0                         963                       0.0000000000E+00          1.4800997925E+02          4.4995964050E+01          4.4993125916E+01          4.4723930359E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9601898438E+04          1.0000000000E+00          1.0600000000E+02          -1.0602645868E-03         -1.0600829581E-03         -5.5424017648E-05         5.1364924084E-05          3.6526463296E+03          3.6526463296E+03          -5.2258406397E+02         1.9913476666E+03          6.7653256857E+02          5.2297720299E-03          5.2310443811E-03          -1.2618371269E+02         -5.3859153121E+02         -1.1147419907E+03         -5.1511958017E+02         0.0000000000E+00          2.2003157525E-02          5.4074564126E+00          5.4094577051E+00          6.2641303349E-02          3.0502252167E+01          1.9675351291E+01          1.6529589554E+01          -5.3947905521E+00         3.2236907496E+00          9.7798426622E-02          7.8779096729E-03          1.3307353915E-02          1.9992177022E-01          1.3421926090E+00          1.6030793741E+00          0.0000000000E+00          2.8176315332E-02          6.1884217805E-02          -3.2312905818E-01         8.1009989934E-04          -1.0652590893E-04         2.6519568443E-02          6.2093042885E-02          -1.0339824995E-02         -1.0277263952E-04         7.0970088328E+00          
2021-09-09                15:27:13.842              251.64391021              6039.453845               1631201233.842            0                         963                       0.0000000000E+00          1.4801688913E+02          4.4995952988E+01          4.4993116697E+01          4.4723932203E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9608784257E+04          1.0000000000E+00          1.5000000000E+02          -1.1203234996E-03         -1.1201672602E-03         -4.0680257317E-05         4.6758938186E-05          2.2317868217E+03          2.2317868217E+03          1.5884246154E+03          2.1553313061E+03          7.0466139336E+02          1.0135303024E-02          1.0138280625E-02          -5.8956704746E+02         -4.2562306023E+02         -1.0985438414E+03         -5.2203353149E+02         0.0000000000E+00          2.0720889707E-02          5.4074564126E+00          5.4094577051E+00          6.2641303349E-02          3.0502252167E+01          1.9675351291E+01          1.6529589554E+01          -5.3947905521E+00         3.2236907496E+00          9.7798426622E-02          5.2489617173E-03          1.9550852873E-02          1.5159992454E-01          1.2639742721E+00          1.5248224113E+00          0.0000000000E+00          2.7101308746E-02          1.0855948796E-01          -2.3473974213E-01         1.5055862120E-03          -4.9252670427E-04         2.5842416186E-02          1.6340384362E-02          -1.3328088017E-02         1.2452249950E-03          -4.3541478693E-01         
2021-09-09                15:27:15.174              251.64392564              6039.454215               1631201235.175            0                         963                       0.0000000000E+00          1.4799900024E+02          4.4995780945E+01          4.4992973328E+01          4.4723960876E+01          4.4687500000E+01          0.0000000000E+00          0.0000000000E+00          2.9596519145E+04          1.0000000000E+00          1.0600000000E+02          -1.1203234996E-03         -1.1201672602E-03         -4.0680257317E-05         4.6758938186E-05          2.2317868217E+03          2.2317868217E+03          1.5884246154E+03          2.1553313061E+03          7.0466139336E+02          1.0135303024E-02          1.0138280625E-02          -5.8956704746E+02         -4.2562306023E+02         -1.0985438414E+03         -5.2203353149E+02         0.0000000000E+00          2.0720889707E-02          5.4074564126E+00          5.4094577051E+00          6.2641303349E-02          3.0502252167E+01          1.9675351291E+01          1.6529589554E+01          -5.3947905521E+00         3.2236907496E+00          7.8278039554E-02          5.2489617173E-03          1.9550852873E-02          1.5159992454E-01          1.2639742721E+00          1.5248224113E+00          0.0000000000E+00          2.7101308746E-02          1.0855948796E-01          -2.3473974213E-01         1.5055862120E-03          -4.9252670427E-04         2.5842416186E-02          1.6340384362E-02          -1.3328088017E-02         1.2452249950E-03          -4.3541478693E-01         
