Site ID,Sample,Site,Reach,Location,Replicate,Date,Dry_Weight_and_Filter,Ash_and_Filter,LOI,SPOM,SPOC
SPOC/FH/DS/LWR/1,SPOC,FH,DS,LWR,1,9/7/2021,0.1359,0.1342,0.0017,1.7,0.88
SPOC/FH/DS/LWR/1,SPOC,FH,DS,LWR,2,9/7/2021,0.1313,0.1297,0.0016,1.6,0.83
SPOC/FH/DS/LWR/1,SPOC,FH,DS,LWR,3,9/7/2021,0.1333,0.1314,0.0019,1.9,0.99
SPOC/FH/BDA/LWR/1,SPOC,FH,BDA,LWR,1,9/7/2021,0.1346,0.1329,0.0017,1.7,0.88
SPOC/FH/BDA/LWR/2,SPOC,FH,BDA,LWR,2,9/7/2021,0.1321,0.1308,0.0013,1.3,0.68
SPOC/FH/BDA/LWR/3,SPOC,FH,BDA,LWR,3,9/7/2021,0.1339,0.1322,0.0017,1.7,0.88
SPOC/FH/REF/LWR/1,SPOC,FH,REF,LWR,1,9/7/2021,0.1315,0.1304,0.0011,1.1,0.57
SPOC/FH/REF/LWR/2,SPOC,FH,REF,LWR,2,9/7/2021,0.1316,0.1306,0.0010,1.0,0.52
SPOC/FH/REF/LWR/3,SPOC,FH,REF,LWR,3,9/7/2021,0.1310,0.1299,0.0011,1.1,0.57
SPOC/FH/GS/UPR/1,SPOC,FH,GS,UPR,1,9/7/2021,0.1313,0.1302,0.0011,1.1,0.57
SPOC/FH/GS/UPR/2,SPOC,FH,GS,UPR,2,9/7/2021,0.1334,0.1320,0.0014,1.4,0.73
SPOC/FH/GS/UPR/3,SPOC,FH,GS,UPR,3,9/7/2021,0.1321,0.1307,0.0014,1.4,0.73
SPOC/TP/DS/LWR/1,SPOC,TP,DS,LWR,1,9/10/2021,0.1297,0.1292,0.0005,0.5,0.26
SPOC/TP/DS/LWR/2,SPOC,TP,DS,LWR,2,9/10/2021,0.1304,0.1300,0.0004,0.4,0.21
SPOC/TP/DS/LWR/3,SPOC,TP,DS,LWR,3,9/10/2021,0.1306,0.1301,0.0005,0.5,0.26
SPOC/TP/BDA/LWR/1,SPOC,TP,BDA,LWR,1,9/10/2021,0.1310,0.1304,0.0006,0.6,0.31
SPOC/TP/BDA/LWR/2,SPOC,TP,BDA,LWR,2,9/10/2021,0.1297,0.1290,0.0007,0.7,0.36
SPOC/TP/BDA/LWR/3,SPOC,TP,BDA,LWR,3,9/10/2021,0.1290,0.1284,0.0006,0.6,0.31
SPOC/TP/REF/LWR/1,SPOC,TP,REF,LWR,1,9/10/2021,0.1299,0.1295,0.0004,0.4,0.21
SPOC/TP/REF/LWR/2,SPOC,TP,REF,LWR,2,9/10/2021,0.1281,0.1277,0.0004,0.4,0.21
SPOC/TP/REF/LWR/3,SPOC,TP,REF,LWR,3,9/10/2021,0.1311,0.1309,0.0002,0.2,0.10
SPOC/TP/GS/UPR/1,SPOC,TP,GS,UPR,1,9/10/2021,0.1292,0.1288,0.0004,0.4,0.21
SPOC/TP/GS/UPR/2,SPOC,TP,GS,UPR,2,9/10/2021,0.1338,0.1314,0.0024,2.4,1.25
SPOC/TP/GS/UPR/3,SPOC,TP,GS,UPR,3,9/10/2021,0.1297,0.1294,0.0003,0.3,0.16
