Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,FH,REF,UPR,3,8/3/2021,0.1485,0.1450,0.0035,7.0,8.0,8.5,9.0,8.1,50,8.750,240.53,1954.2913,0.1368,0.5688,0.30
FBPOC,TP,BDA,LWR,1,8/5/2021,0.1600,0.1537,0.0063,44.0,44.5,44.5,43.0,44.0,10,8.750,240.53,10583.2389,6.6674,27.7200,14.41
FBPOC,TP,BDA,LWR,2,8/5/2021,0.2137,0.1970,0.0167,13.0,13.0,12.0,14.0,13.0,5,8.750,240.53,3126.8660,10.4437,43.4200,22.58
FBPOC,TP,BDA,LWR,3,8/5/2021,0.2503,0.2082,0.0421,23.0,24.0,24.0,22.0,23.3,10,8.750,240.53,5592.2797,23.5435,97.8825,50.90
FBPOC,TP,BDA,MID,1,8/5/2021,0.1834,0.1747,0.0087,27.0,20.0,24.0,26.0,24.3,5,8.750,240.53,5832.8078,10.1491,42.1950,21.94
FBPOC,TP,BDA,MID,2,8/5/2021,0.3313,0.2975,0.0338,18.0,15.0,15.0,16.0,16.0,5,8.750,240.53,3848.4505,26.0155,108.1600,56.24
FBPOC,TP,BDA,MID,3,8/5/2021,0.2225,0.2070,0.0155,18.0,15.0,15.0,15.0,15.8,5,8.750,240.53,3788.3185,11.7438,48.8250,25.39
FBPOC,TP,BDA,UPR,1,8/5/2021,0.1859,0.1805,0.0054,10.0,10.0,9.0,10.0,9.8,3,8.750,240.53,2345.1495,4.2213,17.5500,9.13
FBPOC,TP,BDA,UPR,2,8/5/2021,0.2171,0.2047,0.0124,9.0,9.0,11.0,10.0,9.8,5,8.750,240.53,2345.1495,5.8160,24.1800,12.57
FBPOC,TP,BDA,UPR,3,8/5/2021,0.1479,0.1455,0.0024,9.0,9.0,10.0,11.0,9.8,30,8.750,240.53,2345.1495,0.1876,0.7800,0.41
FBPOC,TP,REF,LWR,1,8/5/2021,0.1389,0.1351,0.0038,34.5,31.5,33.0,33.0,33.0,20,8.750,240.53,7937.4292,1.5081,6.2700,3.26
FBPOC,TP,REF,LWR,2,8/5/2021,0.1749,0.1615,0.0134,12.5,13.0,13.0,12.0,12.6,20,8.750,240.53,3036.6680,2.0346,8.4588,4.40
FBPOC,TP,REF,LWR,3,8/5/2021,0.1731,0.1597,0.0134,20.0,18.0,17.0,17.0,18.0,20,8.750,240.53,4329.5068,2.9008,12.0600,6.27
FBPOC,TP,REF,MID,1,8/5/2021,0.2188,0.1923,0.0265,17.0,15.0,13.5,14.0,14.9,10,8.750,240.53,3577.8563,9.4813,39.4188,20.50
FBPOC,TP,REF,MID,2,8/5/2021,0.1772,0.1623,0.0149,23.0,20.0,20.0,20.0,20.8,10,8.750,240.53,4990.9593,7.4365,30.9175,16.08
FBPOC,TP,REF,MID,3,8/5/2021,0.1473,0.1409,0.0064,18.0,18.5,18.0,18.0,18.1,30,8.750,240.53,4359.5729,0.9300,3.8667,2.01
FBPOC,TP,REF,UPR,1,8/5/2021,0.1529,0.1446,0.0083,23.0,22.0,23.0,23.0,22.8,10,8.750,240.53,5472.0156,4.5418,18.8825,9.82
FBPOC,TP,REF,UPR,2,8/5/2021,0.1462,0.1398,0.0064,28.0,25.0,25.0,26.0,26.0,20,8.750,240.53,6253.7321,2.0012,8.3200,4.33
FBPOC,TP,REF,UPR,3,8/5/2021,0.1425,0.1377,0.0048,40.0,41.5,41.0,40.0,40.6,50,8.750,240.53,9771.4564,0.9381,3.9000,2.03
