Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,FH,REF,UPR,1,6/15/2021,0.1656,0.1591,0.0065,4.5,5.0,4.7,3.2,4.4,20,8.750,240.53,1046.2975,0.3400,1.4138,0.74
FBPOC,FH,REF,UPR,2,6/15/2021,0.1481,0.1439,0.0042,11.5,8.0,10.8,12.0,10.6,90,8.750,240.53,2543.5853,0.1187,0.4935,0.26
FBPOC,FH,REF,UPR,3,6/15/2021,0.1636,0.1569,0.0067,15.0,14.0,14.5,14.5,14.5,80,8.750,240.53,3487.6583,0.2921,1.2144,0.63
FBPOC,TP,BDA,LWR,1,6/17/2021,0.1591,0.1535,0.0056,41.5,47.3,43.2,41.0,43.3,21,8.750,240.53,10402.8428,2.7741,11.5333,6.00
FBPOC,TP,BDA,LWR,2,6/17/2021,0.1846,0.1759,0.0087,38.5,37.5,37.3,35.5,37.2,50,8.750,240.53,8947.6475,1.5569,6.4728,3.37
FBPOC,TP,BDA,LWR,3,6/17/2021,0.1792,0.1714,0.0078,32.5,32.5,32.3,31.5,32.2,11,8.750,240.53,7745.0067,5.4919,22.8327,11.87
FBPOC,TP,BDA,MID,1,6/17/2021,0.2323,0.2153,0.0170,43.4,40.5,42.4,43.4,42.4,13,8.750,240.53,10204.4071,13.3442,55.4788,28.85
FBPOC,TP,BDA,MID,2,6/17/2021,0.1677,0.1618,0.0059,57.0,55.0,56.4,54.5,55.7,49,8.750,240.53,13403.4316,1.6139,6.7097,3.49
FBPOC,TP,BDA,MID,3,6/17/2021,0.1652,0.1592,0.0060,40.8,40.5,41.4,40.5,40.8,7,8.750,240.53,9813.5488,8.4116,34.9714,18.19
FBPOC,TP,BDA,UPR,1,6/17/2021,0.1751,0.1699,0.0052,18.7,19.5,20.0,17.0,18.8,8,8.750,240.53,4521.9294,2.9393,12.2200,6.35
FBPOC,TP,BDA,UPR,2,6/17/2021,0.1692,0.1644,0.0048,20.8,20.5,23.8,22.0,21.8,7,8.750,240.53,5237.5006,3.5914,14.9314,7.76
FBPOC,TP,BDA,UPR,3,6/17/2021,0.1843,0.1794,0.0049,23.6,21.0,22.8,24.0,22.9,4,8.750,240.53,5496.0684,6.7327,27.9912,14.56
FBPOC,TP,REF,LWR,1,6/17/2021,0.1461,0.1420,0.0041,46.5,47.0,46.6,45.5,46.4,65,8.750,240.53,11160.5065,0.7040,2.9268,1.52
FBPOC,TP,REF,LWR,2,6/17/2021,0.1534,0.1486,0.0048,36.5,36.5,36.0,36.0,36.3,85,8.750,240.53,8719.1457,0.4924,2.0471,1.06
FBPOC,TP,REF,LWR,3,6/17/2021,0.1599,0.1520,0.0079,45.0,46.0,45.0,44.0,45.0,75,8.750,240.53,10823.7671,1.1401,4.7400,2.46
