HydraGO Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (C),Soil Temperature (F),Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m),Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.077391,-113.453745,0.201,20.1,+22.8,+73.0,0.09,0.09,0.81,3.4,+12.167,+3.177,0.26
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.077161,-113.453931,0.29,29,+22.6,+72.6,0.16,0.17,0.88,3.4,+18.531,+5.882,0.32
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.077297,-113.45402,0.404,40.4,+21.9,+71.5,0.21,0.21,0.65,3.4,+28.657,+7.401,0.26
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.076945,-113.454282,0.333,33.3,+21.1,+70.0,0.18,0.18,0.76,3.4,+22.058,+6.317,0.29
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.077126,-113.454214,0.433,43.3,+20.5,+68.9,0.26,0.27,0.75,3.4,+31.564,+9.176,0.29
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.07673,-113.454742,0.549,54.9,+20.1,+68.2,0.38,0.41,0.78,3.4,+44.602,+13.762,0.31
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.076753,-113.454779,0.587,58.7,+19.7,+67.5,0.39,0.41,0.7,3.4,+49.445,+13.860,0.28
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.076721,-113.454768,0.069,6.9,+19.3,+66.8,0.04,0.04,1.78,3.4,+5.161,+1.399,0.27
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.076731,-113.454808,0.377,37.7,+18.9,+66.1,0.16,0.18,0.62,3.4,+26.033,+5.930,0.23
HG268352,267806,9/8/2021,Blackfoot - Lost Prairie,47.076697,-113.454573,0,0,+18.9,+66.1,0.01,0.01,0,3.4,+1.779,+0.231,0.13
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.781945,-114.524588,0.228,22.8,+16.8,+62.3,0.14,0.16,1.2,3.4,+13.909,+5.110,0.37
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.781958,-114.525191,0.336,33.6,+16.7,+62.0,0.21,0.23,0.96,3.4,+22.284,+7.425,0.33
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.781892,-114.525292,0.207,20.7,+16.7,+62.0,0.14,0.15,1.29,3.4,+12.528,+4.876,0.39
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.781926,-114.525243,0.174,17.4,+16.7,+62.0,0.14,0.15,1.66,3.4,+10.500,+4.929,0.47
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.782208,-114.525474,0.381,38.1,+16.7,+62.0,0.27,0.31,1.06,3.4,+26.390,+9.755,0.37
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.782221,-114.525573,0.396,39.6,+16.7,+62.0,0.25,0.29,0.93,3.4,+27.846,+9.054,0.33
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.782221,-114.525573,0.396,39.6,+16.7,+62.0,0.25,0.29,0.93,3.4,+27.846,+9.054,0.33
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.783717,-114.527677,0.217,21.7,+22.1,+71.9,0.12,0.12,0.96,3.4,+13.195,+4.182,0.32
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.78359,-114.527394,0.142,14.2,+21.9,+71.5,0.05,0.05,0.75,3.4,+8.661,+1.646,0.19
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.783465,-114.52765,0.47,47,+21.9,+71.5,0.25,0.26,0.64,3.4,+35.442,+9.003,0.25
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.783573,-114.527641,0.188,18.8,+21.7,+71.1,0.09,0.1,0.99,3.4,+11.313,+3.294,0.29
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.783733,-114.527679,0.178,17.8,+21.5,+70.7,0.11,0.12,1.29,3.4,+10.707,+3.978,0.37
HG268352,267806,9/10/2021,Lolo - Teepee Creek,46.783625,-114.527854,0.293,29.3,+21.5,+70.7,0.17,0.18,0.92,3.4,+18.763,+6.034,0.32
