"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",19,"2021-08-25",621.137532317778,-13.99091179475,1.92213515724444,-47.0555542045556,"LP",1,"BDA"
"2",20,"2021-08-25",527.310634673333,-11.4324553711111,1.92341034584444,-36.2012931106667,"LP",1,"BDA"
"3",21,"2021-08-25",498.221729736667,-9.31332124526944,1.89319953853333,-41.4162868257778,"LP",1,"BDA"
"4",22,"2021-08-25",569.024795906667,-13.2404102996389,1.9289394762,-43.6257081993333,"LP",2,"BDA"
"5",23,"2021-08-25",767.653083346667,-15.0577713419167,1.8703222483,-46.8328575736667,"LP",2,"BDA"
"6",24,"2021-08-25",854.106138836667,-14.8033428191389,1.83202175213333,-44.561668069,"LP",2,"BDA"
"7",25,"2021-08-25",635.551226248889,-15.2849935512778,1.93762722725556,-43.8730288132222,"LP",3,"BDA"
"8",26,"2021-08-25",889.984431288889,-18.8035909968889,1.9035788867,-42.1859077147778,"LP",3,"BDA"
"9",27,"2021-08-25",994.691194884444,-18.7285437886111,1.88427778661111,-36.5999445632222,"LP",3,"BDA"
"10",28,"2021-08-25",527.631994066667,-12.8655991860833,1.93884938506667,-42.4233999467778,"LP",4,"BDA"
"11",29,"2021-08-25",701.747455994444,-15.8617416877222,1.91030461274444,-43.448886552,"LP",4,"BDA"
"12",30,"2021-08-25",804.65068967,-16.5824063168056,1.87566801147778,-43.3352210555556,"LP",4,"BDA"
"13",31,"2021-08-25",544.949930988889,-12.9907790035833,1.95577892381111,-44.9483750162222,"LP",5,"BDA"
"14",32,"2021-08-25",672.822397411111,-15.3962593708056,1.91863625035556,-46.0565226475556,"LP",5,"BDA"
"15",33,"2021-08-25",743.391505558889,-16.3370479433889,1.88893347092222,-42.3382162052222,"LP",5,"BDA"
"16",34,"2021-08-25",491.454148666667,-11.7484729480556,1.9618750254,-43.7125732998889,"LP",6,"BDA"
"17",35,"2021-08-25",683.912789426667,-15.0150389566389,1.95861029877778,-45.4906786026667,"LP",6,"BDA"
"18",36,"2021-08-25",557.567287036667,-12.3193052508333,1.9539981819,-46.1836388107778,"LP",6,"BDA"
"19",37,"2021-08-25",645.616615343333,-15.7514772606944,1.93036809214444,-45.6233752403333,"LP",7,"REF"
"20",38,"2021-08-25",743.780612917778,-17.221893746,1.88492426328889,-39.2389659543333,"LP",7,"REF"
"21",39,"2021-08-25",878.527626511111,-18.6288583308611,1.83952530371111,-43.0298408853333,"LP",7,"REF"
"22",40,"2021-08-25",569.677213527778,-14.0272161466944,1.94250163881111,-46.131958212,"LP",8,"REF"
"23",41,"2021-08-25",725.670863342222,-16.9000336903889,1.91579627847778,-44.4526582172222,"LP",8,"REF"
"24",42,"2021-08-25",851.670763593333,-17.2779581238333,1.87797614487778,-45.16784601,"LP",8,"REF"
"25",43,"2021-08-25",550.159201136667,-13.6912247916944,2.07812612113333,-41.6450429431111,"LP",9,"REF"
"26",44,"2021-08-25",599.301147313333,-14.5533386259444,2.28909767191111,-47.0998626402222,"LP",9,"REF"
"27",45,"2021-08-25",751.032084947778,-16.4874437636667,2.63208713608889,-46.8716884747778,"LP",9,"REF"
"28",46,"2021-08-25",757.233500531111,-17.1822618519444,1.88036382946667,-44.8585324397778,"LP",10,"REF"
"29",47,"2021-08-25",1138.42700833333,-20.7411202001944,1.7144265802,-34.2298569806667,"LP",10,"REF"
"30",48,"2021-08-25",1456.7155142,-22.2114163610556,1.58594510542222,-39.1775264715556,"LP",10,"REF"
"31",50,"2021-08-25",554.085431602222,-13.2455899443333,1.96778145335556,-43.8910726476667,"LP",11,"REF"
"32",51,"2021-08-25",643.211407843333,-15.0304008549167,2.00333202886667,-49.1052850864444,"LP",11,"REF"
"33",52,"2021-08-25",680.091359726667,-15.5575903169444,2.02239392684444,-46.4958571515556,"LP",11,"REF"
"34",53,"2021-08-25",686.710916795556,-16.0710539525,1.94125762065556,-44.2063705641111,"LP",12,"REF"
"35",54,"2021-08-25",828.272629594444,-16.4823579251944,1.91611556961111,-45.2326392794444,"LP",12,"REF"
"36",55,"2021-08-25",923.514632538889,-16.9094083528056,1.8937204946,-44.9142789396667,"LP",12,"REF"
