"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",28,"2021-06-17",629.367082111111,-15.6167911349444,1.98347655183333,-35.6559166344444,"TP",1,"BDA"
"2",29,"2021-06-17",991.796184666667,-20.1349472985833,2.03036398365556,-28.9934619221111,"TP",1,"BDA"
"3",30,"2021-06-17",1309.12097111111,-21.9503349208611,2.07280063236667,-40.2944440687778,"TP",1,"BDA"
"4",31,"2021-06-17",670.265480104444,-15.9327810545556,2.20365910811111,-46.5582503075556,"TP",2,"BDA"
"5",32,"2021-06-17",1049.78814715556,-18.30120645725,2.80251227622222,-49.5874774063333,"TP",2,"BDA"
"6",33,"2021-06-17",1455.5045448,-19.6638066281667,3.36289732714444,-57.7350439946667,"TP",2,"BDA"
"7",34,"2021-06-17",782.086743317778,-17.5902487485556,2.10721866491111,-41.8942063368889,"TP",3,"BDA"
"8",35,"2021-06-17",1263.65220651111,-20.9973385592222,2.48783225937778,-47.7340180758889,"TP",3,"BDA"
"9",36,"2021-06-17",1684.64011084444,-21.6430421388611,2.86187803161111,-51.7120201946667,"TP",3,"BDA"
"10",37,"2021-06-17",882.449725917778,-17.3950925563056,2.08964670456667,-38.0918683628889,"TP",4,"BDA"
"11",38,"2021-06-17",1298.49822128889,-18.5880621854444,2.51079114273333,-47.1131237912222,"TP",4,"BDA"
"12",39,"2021-06-17",1695.95428813333,-18.784082629,2.95461290951111,-50.0055962336667,"TP",4,"BDA"
"13",40,"2021-06-17",946.38728131,-17.1920482084444,3.09428384818889,-53.938591503,"TP",5,"BDA"
"14",41,"2021-06-17",1283.39207446667,-18.4646718180556,5.78001472248889,-65.5836034201111,"TP",5,"BDA"
"15",42,"2021-06-17",1668.53838966667,-19.2453760248611,8.9448326868,-69.3955976635555,"TP",5,"BDA"
"16",43,"2021-06-17",659.984671818889,-15.8253339043889,1.97579677953333,-32.5674972178889,"TP",6,"BDA"
"17",44,"2021-06-17",1023.56451631111,-17.8448275617222,2.03681782205556,-37.4050105565556,"TP",6,"BDA"
"18",45,"2021-06-17",1406.88344475556,-18.9581658150278,2.11355027832222,-43.8452579445556,"TP",6,"BDA"
"19",46,"2021-06-17",855.524912185556,-18.6655596233056,2.13009811248889,-40.7620057128889,"TP",7,"REF"
"20",47,"2021-06-17",1607.50882603333,-22.5382657029167,2.54236454032222,-47.8618057223333,"TP",7,"REF"
"21",48,"2021-06-17",2212.18044325556,-23.0071053896389,2.87686823252222,-50.3571664614444,"TP",7,"REF"
"22",49,"2021-06-17",743.023114771111,-17.3566768063056,2.20181274558889,-41.5764442067778,"TP",8,"REF"
"23",50,"2021-06-17",1220.56362131111,-20.9254294609722,2.9113753999,-54.952566892,"TP",8,"REF"
"24",51,"2021-06-17",1609.50834886667,-22.5181781381944,3.57163140824444,-60.0978032061111,"TP",8,"REF"
"25",52,"2021-06-17",639.507609853333,-15.3026529743333,2.38743798932222,-33.6244546556667,"TP",9,"REF"
"26",53,"2021-06-17",1102.44862923333,-19.6523293190556,3.48831487167778,-50.3659513286667,"TP",9,"REF"
"27",54,"2021-06-17",1446.51461858889,-21.0168113535833,4.32576339685556,-54.7523092291111,"TP",9,"REF"
"28",55,"2021-06-17",826.606155667778,-17.9536188311944,1.98265415846667,-40.530178818,"TP",10,"REF"
"29",56,"2021-06-17",1530.31769071111,-21.8661209610278,2.10893656397778,-39.704563882,"TP",10,"REF"
"30",57,"2021-06-17",2231.22241917778,-23.34900157825,2.25368154005556,-42.3155270191111,"TP",10,"REF"
"31",58,"2021-06-17",826.872338615556,-17.3941928329722,2.10633179257778,-34.6437739842222,"TP",11,"REF"
"32",59,"2021-06-17",1644.52184082222,-22.0624841950278,2.54287251354444,-35.2442608666667,"TP",11,"REF"
"33",60,"2021-06-17",2308.83437587778,-23.4458511027778,2.88844519045556,-38.7394526105556,"TP",11,"REF"
"34",61,"2021-06-17",744.715869286667,-17.62279016325,1.99153685755556,-35.8861647131111,"TP",12,"REF"
"35",62,"2021-06-17",1291.34903455556,-21.5298916446944,2.13276135151111,-48.5366094276667,"TP",12,"REF"
"36",63,"2021-06-17",1738.3463458,-22.2041769286389,2.25025112127778,-39.8319607267778,"TP",12,"REF"
