"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",1,"2021-07-29",657.910456021111,-14.4518248235,1.99935882094444,-38.0442442693333,"TP",1,"BDA"
"2",2,"2021-07-29",1251.04358877778,-20.21778521575,1.81404553081111,-32.3637801874444,"TP",1,"BDA"
"3",3,"2021-07-29",2066.14031236667,-22.7417274547222,1.59838387414444,-36.548274655,"TP",1,"BDA"
"4",4,"2021-07-29",730.366822276667,-15.3923334405,1.97866663296667,-40.6746175078889,"TP",2,"BDA"
"5",5,"2021-07-29",1328.25614603333,-20.38175690975,1.99571092177778,-37.8543712226667,"TP",2,"BDA"
"6",6,"2021-07-29",2149.26774038889,-21.8917858062222,2.01560874763333,-41.6585279568889,"TP",2,"BDA"
"7",7,"2021-07-29",785.51964494,-16.2630747670556,2.0748948504,-39.7262431506667,"TP",3,"BDA"
"8",8,"2021-07-29",1655.21010791111,-21.9197384466667,1.79264040723333,-35.876053448,"TP",3,"BDA"
"9",9,"2021-07-29",2867.5211315,-23.9621081023611,1.47721696455556,-29.9134130148889,"TP",3,"BDA"
"10",10,"2021-07-29",973.362640467778,-17.7933440978333,1.89259630678889,-36.5193536726667,"TP",4,"BDA"
"11",11,"2021-07-29",2213.07106752222,-21.5442814270833,1.66948870018889,-37.064399647,"TP",4,"BDA"
"12",12,"2021-07-29",3846.86169815556,-22.5941462676944,1.42608155272222,-30.7613251914444,"TP",4,"BDA"
"13",13,"2021-07-29",781.874148097778,-15.0944550468333,2.51118567505556,-61.8638341535556,"TP",5,"BDA"
"14",14,"2021-07-29",1458.78371708889,-19.9594718618056,3.78447192732222,-63.5700075124444,"TP",5,"BDA"
"15",15,"2021-07-29",2560.85291532222,-21.7905609164167,5.68402517672222,-67.2589703312222,"TP",5,"BDA"
"16",16,"2021-07-29",712.205912234444,-14.9689528087778,2.47484832807778,-44.7917456571111,"TP",6,"BDA"
"17",17,"2021-07-29",1344.02447056667,-19.5721346544167,2.2628844557,-44.9259382501111,"TP",6,"BDA"
"18",18,"2021-07-29",2468.09870917778,-21.67933676975,1.97791675152222,-43.9592128537778,"TP",6,"BDA"
"19",19,"2021-07-29",582.343024015556,-13.6513943668056,1.89745187737778,-36.9207033503333,"TP",7,"REF"
"20",20,"2021-07-29",1167.32325323333,-19.8798720702778,1.78386216471111,-33.3617816556667,"TP",7,"REF"
"21",21,"2021-07-29",2057.72922938889,-22.6467600333611,1.62766651305556,-32.1160278381111,"TP",7,"REF"
"22",22,"2021-07-29",599.492513662222,-14.0609260396389,2.0167793147,-37.063519276,"TP",8,"REF"
"23",23,"2021-07-29",1303.5261112,-21.1931726860278,2.468676981,-46.6106963596667,"TP",8,"REF"
"24",24,"2021-07-29",2173.53795286667,-24.1217166471667,3.05662518134444,-51.2876578152222,"TP",8,"REF"
"25",25,"2021-07-29",573.576175932222,-12.9876847437222,2.00597336772222,-22.654454775,"TP",9,"REF"
"26",26,"2021-07-29",1046.40587265556,-19.0781549413056,2.25320507036667,-41.6212271381111,"TP",9,"REF"
"27",27,"2021-07-29",1655.74699614444,-21.1041109298056,2.61996553361111,-38.0495612401111,"TP",9,"REF"
"28",28,"2021-07-29",595.452134545556,-13.4563816698611,1.91503267032222,-41.0587712651111,"TP",10,"REF"
"29",29,"2021-07-29",1229.34453908889,-19.7782036158611,1.88238515198889,-33.770442371,"TP",10,"REF"
"30",30,"2021-07-29",2040.76303193333,-22.210619111,1.84190941634444,-36.0786142282222,"TP",10,"REF"
"31",31,"2021-07-29",695.891711348889,-15.6889146261111,1.9221630191,-31.730164283,"TP",11,"REF"
"32",32,"2021-07-29",1726.59371846667,-22.2373869388611,1.94805597548889,-25.4661544196667,"TP",11,"REF"
"33",33,"2021-07-29",3075.61114892222,-24.2558927219722,1.97736057323333,-30.7878164662222,"TP",11,"REF"
"34",34,"2021-07-29",741.23872363,-16.0391234013333,1.93419788762222,-28.8553946367778,"TP",12,"REF"
"35",35,"2021-07-29",1738.89166131111,-21.674045467,1.88293070688889,-45.4849562936667,"TP",12,"REF"
"36",36,"2021-07-29",3045.55685113333,-23.3889809373333,1.83341472084444,-29.5611258078889,"TP",12,"REF"
