"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",5,"2021-06-10",441.785847084444,-11.7241675094722,1.98142918503333,-44.487967296,"TP",1,"BDA"
"2",6,"2021-06-10",536.798669134444,-14.7398151529722,1.98396387032222,-43.5490287855556,"TP",1,"BDA"
"3",7,"2021-06-10",632.040780663333,-16.5015230410833,1.98846988293333,-45.6718860902222,"TP",1,"BDA"
"4",8,"2021-06-10",579.907673382222,-14.9590950387778,2.14867629487778,-47.7512046785556,"TP",2,"BDA"
"5",9,"2021-06-10",686.414853097778,-16.9213110966944,2.5525180855,-53.5510506907778,"TP",2,"BDA"
"6",10,"2021-06-10",788.52322163,-18.2511874771389,2.90761814962222,-56.3613471232222,"TP",2,"BDA"
"7",11,"2021-06-10",514.021885382222,-13.3864522036667,2.08414933686667,-44.7481816556667,"TP",3,"BDA"
"8",12,"2021-06-10",645.824576722222,-16.9747370533056,2.29131061958889,-50.4113945405556,"TP",3,"BDA"
"9",13,"2021-06-10",836.527282375556,-19.7954257465278,2.6703612841,-52.4211940938889,"TP",3,"BDA"
"10",15,"2021-06-10",573.259342603333,-15.3455825825833,2.31415880695556,-51.1160385471111,"TP",4,"BDA"
"11",16,"2021-06-10",678.304648123333,-17.0280469339444,2.57627940668889,-52.2590366985556,"TP",4,"BDA"
"12",17,"2021-06-10",727.927560753333,-16.6504851479167,1.98286616597778,-48.4561622375556,"TP",4,"BDA"
"13",18,"2021-06-10",537.264448041111,-13.6993884090556,2.14799218494444,-48.4486840432222,"TP",5,"BDA"
"14",19,"2021-06-10",513.877074447778,-13.6843385150833,3.1695613896,-58.7304231724444,"TP",5,"BDA"
"15",20,"2021-06-10",564.341186597778,-14.9454057216111,3.82144340478889,-62.8358885616667,"TP",5,"BDA"
"16",21,"2021-06-10",540.657996863333,-13.2115873520556,2.13362360625556,-46.1070390382222,"TP",6,"BDA"
"17",22,"2021-06-10",734.263460652222,-14.9011356718611,2.17514339864444,-48.517944278,"TP",6,"BDA"
"18",23,"2021-06-10",890.145058711111,-15.66036364425,2.35008601703333,-51.1246752866667,"TP",6,"BDA"
"19",24,"2021-06-10",508.527250501111,-13.3712335055278,1.98612064834444,-43.6099993465556,"TP",7,"REF"
"20",25,"2021-06-10",864.643461927778,-19.4319851548889,2.19750364322222,-48.9641386753333,"TP",7,"REF"
"21",26,"2021-06-10",1138.87006995556,-21.054373305,2.40476235747778,-49.7145185998889,"TP",7,"REF"
"22",27,"2021-06-10",538.347766477778,-13.9288963985278,2.01338707128889,-46.6704922994444,"TP",8,"REF"
"23",28,"2021-06-10",591.21368717,-15.0029489464167,2.25946478308889,-52.017644746,"TP",8,"REF"
"24",29,"2021-06-10",707.484455981111,-17.0541986126667,2.53153897681111,-55.4655658262222,"TP",8,"REF"
"25",30,"2021-06-10",477.048994458889,-12.6683881539444,2.0364510585,-47.4431270948889,"TP",9,"REF"
"26",31,"2021-06-10",497.182350402222,-12.9026035873056,2.16884790632222,-48.6269678447778,"TP",9,"REF"
"27",32,"2021-06-10",550.885668354444,-14.4915833640556,2.37501036424444,-50.2571160284444,"TP",9,"REF"
"28",33,"2021-06-10",503.736623284444,-13.3515532506944,1.97420767295556,-48.4568196553333,"TP",10,"REF"
"29",34,"2021-06-10",680.15818381,-16.4603157886944,1.97500598411111,-45.9432831642222,"TP",10,"REF"
"30",35,"2021-06-10",863.419360471111,-18.7885828758056,1.99761579183333,-46.0010743876667,"TP",10,"REF"
"31",36,"2021-06-10",578.948252643333,-15.7979143731111,1.96381887526667,-44.2259225666667,"TP",11,"REF"
"32",37,"2021-06-10",488.566714465556,-12.5345377324722,1.9464862719,-42.9804379478889,"TP",11,"REF"
"33",38,"2021-06-10",614.528484686667,-16.4428257139167,1.97556052947778,-45.8805539335556,"TP",11,"REF"
"34",39,"2021-06-10",578.919833132222,-14.7734825900278,1.96333172476667,-45.5929836102222,"TP",12,"REF"
"35",40,"2021-06-10",735.923269505556,-16.6897257105,1.98007356158889,-50.4324964691111,"TP",12,"REF"
"36",41,"2021-06-10",1178.39536706667,-20.3499016521944,2.04932013055556,-44.5917355672222,"TP",12,"REF"
