"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",19,"2021-07-26",666.401530253333,-15.9384866742778,1.8832760622,-45.1285326971111,"LP",1,"BDA"
"2",20,"2021-07-26",745.879276788889,-16.4785775720833,1.91306554645556,-40.9461312967778,"LP",1,"BDA"
"3",21,"2021-07-26",826.22932728,-15.9860746605,1.89358328286667,-39.4027204607778,"LP",1,"BDA"
"4",22,"2021-07-26",771.234238971111,-17.3179313988889,1.87223760692222,-41.2380172647778,"LP",2,"BDA"
"5",23,"2021-07-26",1089.06906258889,-20.1950856499444,1.82583059,-45.9590625455556,"LP",2,"BDA"
"6",24,"2021-07-26",1343.9369907,-20.9252351783056,1.78388935086667,-38.3397849812222,"LP",2,"BDA"
"7",25,"2021-07-26",804.773784356667,-17.9666489416111,1.87609731111111,-42.5416568182222,"LP",3,"BDA"
"8",26,"2021-07-26",1270.29062291111,-21.4139651258333,1.83492855407778,-31.0797450761111,"LP",3,"BDA"
"9",27,"2021-07-26",1635.65811787778,-22.8848394452778,1.81126442285556,-41.5157209615556,"LP",3,"BDA"
"10",28,"2021-07-26",679.939831302222,-15.7372594419444,1.92267063625556,-39.3454049457778,"LP",4,"BDA"
"11",29,"2021-07-26",867.802554906667,-18.3678063273333,1.98660393492222,-45.3320081083333,"LP",4,"BDA"
"12",30,"2021-07-26",1052.77062376667,-20.1380666416944,2.0525694087,-42.0046296146667,"LP",4,"BDA"
"13",31,"2021-07-26",661.109236265556,-15.4159767595278,1.89471869915556,-41.9365519341111,"LP",5,"BDA"
"14",32,"2021-07-26",880.492379593333,-18.8944871917222,1.86949994641111,-44.0447572628889,"LP",5,"BDA"
"15",33,"2021-07-26",1057.99546426667,-20.3903410398333,1.85049466814444,-42.9528034226667,"LP",5,"BDA"
"16",34,"2021-07-26",605.811092616667,-15.4645391123889,1.91016583457778,-39.9297671543333,"LP",6,"BDA"
"17",35,"2021-07-26",681.613525285556,-16.0493534566389,1.93682187986667,-47.5043221397778,"LP",6,"BDA"
"18",36,"2021-07-26",759.486595257778,-17.3277844450278,1.98368094247778,-47.2066078625556,"LP",6,"BDA"
"19",37,"2021-07-26",725.541240155556,-17.0797631418611,1.87742096285556,-40.1168687442222,"LP",7,"REF"
"20",38,"2021-07-26",949.719496257778,-19.4788705177778,1.84907977561111,-41.9286619775556,"LP",7,"REF"
"21",39,"2021-07-26",1187.44423256667,-21.14548314425,1.81569400914444,-38.0619341698889,"LP",7,"REF"
"22",40,"2021-07-26",743.571054227778,-16.5619228677778,1.90564010621111,-39.473615512,"LP",8,"REF"
"23",41,"2021-07-26",1011.23157686667,-20.1320556208333,1.93431590522222,-45.1452361365556,"LP",8,"REF"
"24",42,"2021-07-26",1182.91446963333,-21.3506613728056,1.96180943466667,-44.6701970554444,"LP",8,"REF"
"25",43,"2021-07-26",593.346755783333,-14.1895242586944,2.16096273913333,-45.5227467328889,"LP",9,"REF"
"26",44,"2021-07-26",775.702488843333,-17.33482322375,2.95449759144444,-50.270143252,"LP",9,"REF"
"27",45,"2021-07-26",926.888685595556,-19.53823638275,3.59833066496667,-50.7314999513333,"LP",9,"REF"
"28",46,"2021-07-26",849.096984811111,-17.9732266443056,1.79256707417778,-37.0602989064444,"LP",10,"REF"
"29",47,"2021-07-26",1263.69116956667,-21.1037504220833,1.64047845636667,-36.4623709007778,"LP",10,"REF"
"30",48,"2021-07-26",1579.80788991111,-21.89919835625,1.53961956323333,-33.0114727468889,"LP",10,"REF"
"31",49,"2021-07-26",653.97324531,-16.2191594330556,1.94669134962222,-43.8840419341111,"LP",11,"REF"
"32",50,"2021-07-26",787.998823693333,-18.2797228278333,2.04462770031111,-44.1176931095556,"LP",11,"REF"
"33",51,"2021-07-26",880.719619108889,-19.0385836659444,2.1220865782,-45.0847760413333,"LP",11,"REF"
"34",52,"2021-07-26",700.586135417778,-16.6939886975833,1.89748359688889,-43.7715441608889,"LP",12,"REF"
"35",53,"2021-07-26",935.411194542222,-19.5621847196111,1.88715710912222,-40.2635465282222,"LP",12,"REF"
"36",54,"2021-07-26",1155.69468285556,-21.2989259512778,1.88467250905556,-41.0750889678889,"LP",12,"REF"
